name,team,starts,team_runs_pg_when_leading_off,season_wrc
소크라테,KIA,19,6.473684210526316,22.672800744607198
로하스,KT,91,5.2967032967032965,41.00251803028216
페라자,한화,23,6.217391304347826,18.954954449688845
