year,team,games,runs_pg,no2_woba,no2_wrc,rest_woba
2021,KIA,144,3.9444444444444446,0.19982401055393786,4.050787103188091,0.18423881321691835
2021,KT,145,4.9655172413793105,0.1957024663916282,1.3454254374886399,0.1974667921459002
2021,LG,146,4.5479452054794525,0.19161397332862162,-1.3382416463884141,0.20694080351286004
2021,NC,144,4.875,0.20596614523675455,8.082454619554918,0.22571086129247572
2021,SSG,144,5.243055555555555,0.2189883400358763,16.63016033989646,0.21799450005830617
2021,두산,148,5.175675675675675,0.21725365349527231,15.491520479654163,0.21382012375612527
2021,롯데,144,5.048611111111111,0.20416898455007818,6.902807031813979,0.21078017442248742
2021,삼성,145,4.910344827586207,0.22512375875402899,20.657419529521007,0.2036511529489633
2021,키움,146,5.0479452054794525,0.19823254612757424,3.0061575464357935,0.21100426825497953
2021,한화,144,4.159722222222222,0.20768695652173913,9.211986829077915,0.20639808533447807
2022,KIA,145,4.979310344827586,0.18574123666150621,-0.32964525025992336,0.1949561911207586
2022,KT,145,4.393103448275862,0.1795781860629448,-4.528625780822605,0.18860580081548206
2022,LG,144,4.965277777777778,0.18373812831000355,-1.694393573197655,0.19976769077283354
2022,NC,144,4.486111111111111,0.1827804930108236,-2.3468451330753015,0.2038297987054054
2022,SSG,144,5.0,0.2007675085486227,9.907983354585605,0.2102206887627619
2022,두산,144,4.430555555555555,0.18381375448350448,-1.642868305791056,0.1889851438654287
2022,롯데,144,4.201388888888889,0.20120863393626182,10.208528820603073,0.20912739258511628
2022,삼성,144,4.604166666666667,0.24764239482200648,41.84455951708228,0.23006694056832472
2022,키움,144,4.3125,0.19383251843981333,5.1830686421650976,0.2018325945013378
2022,한화,144,3.9166666666666665,0.1747693462463789,-7.804961816270353,0.1851748072163976
2023,KIA,144,5.041666666666667,0.18878714381720432,1.6977557745687866,0.20353048176052616
2023,KT,144,4.666666666666667,0.1905150792818006,2.836129091667145,0.19981937360766744
2023,LG,144,5.326388888888889,0.19454605605959938,5.491758598502525,0.20613715427952975
2023,NC,145,4.779310344827586,0.2018148188770973,10.280459223782806,0.2062801532241033
2023,SSG,144,4.569444444444445,0.18261647169985526,-2.367516702834843,0.20802139897606395
2023,두산,145,4.337931034482758,0.18960226597520766,2.2347627021182572,0.1978836585200676
2023,롯데,144,4.534722222222222,0.191838210566782,3.707815205357026,0.19783609776387295
2023,삼성,144,4.416666666666667,0.18887196311049476,1.75363518802799,0.19742899030049818
2023,키움,144,4.215277777777778,0.2161844660194175,19.747261206898393,0.21618446601941746
2023,한화,144,4.194444444444445,0.16795831038658016,-12.024393396811547,0.20189381409307391
2024,KIA,144,5.958333333333333,0.23734449189166676,25.170965039018956,0.22437351853251758
2024,KT,148,5.263513513513513,0.2274724224729002,18.72803490978228,0.218683930632575
2024,LG,145,5.586206896551724,0.20339158327445894,3.0118605366563242,0.22040319641433329
2024,NC,144,5.368055555555555,0.2100040360298009,7.3274269370057805,0.22448022286597574
2024,SSG,145,5.23448275862069,0.21501206582951557,10.595879043243913,0.2283519376135281
2024,두산,146,5.404109589041096,0.2150177783849181,10.599607298562681,0.21917231913678348
2024,롯데,144,5.569444444444445,0.22303847585803613,15.834253775906964,0.22422734836418262
2024,삼성,144,5.347222222222222,0.22166685305458542,14.939074709448876,0.23172507798249686
2024,키움,144,4.666666666666667,0.21781429481714518,12.424732225647373,0.2164304671349464
2024,한화,144,5.173611111111111,0.2254343524909113,17.397904221328357,0.21712974334627808
2025,KIA,144,4.638888888888889,0.19668178300027048,6.904257110891037,0.21441780691452964
2025,KT,144,4.5,0.18532285115303987,-0.5786295345491383,0.21149095275895055
2025,LG,144,5.472222222222222,0.19927894084746428,8.615178351747423,0.2080962801100393
2025,NC,144,5.083333333333333,0.19604414232013678,6.484200630745426,0.20511172992800292
2025,SSG,144,4.229166666666667,0.19530130553926786,5.9948444569375114,0.19359796207302146
2025,두산,144,4.493055555555555,0.20688286995376545,13.624394035728061,0.21153144906253626
2025,롯데,144,4.694444444444445,0.18159133709981168,-3.0368269294900334,0.2085244689967669
2025,삼성,144,5.381944444444445,0.22136326311269883,23.163595612690038,0.21594098432698752
2025,키움,144,4.034722222222222,0.20585452766199616,12.946956323669081,0.20819477236714598
2025,한화,144,4.784722222222222,0.21022222222222223,15.824248285240774,0.2140857971366981
