year,team,games,runs_pg,leadoff_woba,leadoff_wrc,rest_woba
2021,KIA,144,3.9444444444444446,0.1926055033491732,-0.6874061336889391,0.18565136456184475
2021,KT,145,4.9655172413793105,0.17137269768339322,-14.624517139011008,0.20234403757237454
2021,LG,146,4.5479452054794525,0.22282843894899534,19.15078270445816,0.19867983839080386
2021,NC,144,4.875,,,0.22485239537700955
2021,SSG,144,5.243055555555555,0.1973247628586154,2.4102929966723785,0.2217674133860045
2021,두산,148,5.175675675675675,0.1897857560345839,-2.538274641082043,0.21909851578079126
2021,롯데,144,5.048611111111111,0.19990007725188338,4.100716916033454,0.21128726441986667
2021,삼성,145,4.910344827586207,0.19351929422796207,-0.08759821787230163,0.2093356010018863
2021,키움,146,5.0479452054794525,0.1944440085482129,0.5193797921189838,0.21225148776125918
2021,한화,144,4.159722222222222,0.20656222849944647,8.473720791879051,0.20664433665050738
2022,KIA,145,4.979310344827586,0.1779675884177602,-5.625950562851602,0.197011074592779
2022,KT,145,4.393103448275862,0.1887067574944967,1.690809399846565,0.18736454104438457
2022,LG,144,4.965277777777778,0.18605753311286397,-0.11414764564065442,0.20042285797336531
2022,NC,144,4.486111111111111,0.18055945545128538,-3.8600719549232885,0.2068418832594575
2022,SSG,144,5.0,0.20734340023616715,14.388238826369914,0.20876239117006765
2022,두산,144,4.430555555555555,0.17933504843811487,-4.694279159223621,0.18948858699892934
2022,롯데,144,4.201388888888889,0.20135999999999998,10.311656832366083,0.2092172185053025
2022,삼성,144,4.604166666666667,0.24764239482200648,41.84455951708228,0.23147030383572897
2022,키움,144,4.3125,0.19525754884547067,6.153963628847779,0.2010382397614878
2022,한화,144,3.9166666666666665,0.1985424204135663,8.391996813753297,0.1804511685005592
2023,KIA,144,5.041666666666667,0.18882600000000002,1.723354439915502,0.20376140511820395
2023,KT,144,4.666666666666667,0.18997594635437243,2.4809453758813453,0.20017268429711552
2023,LG,144,5.326388888888889,0.21643474947169067,19.912149311585573,0.2030929806648136
2023,NC,145,4.779310344827586,0.2126962132192325,17.44918121931506,0.20373623510730318
2023,SSG,144,4.569444444444445,0.19690656268438395,7.046873249220343,0.2052990809707504
2023,두산,145,4.337931034482758,0.1926981733996007,4.274363414265867,0.19820012441786344
2023,롯데,144,4.534722222222222,0.16981632653061224,-10.800322217973706,0.1995506800422872
2023,삼성,144,4.416666666666667,0.18403201314246911,-1.4349502728177268,0.1989970655922533
2023,키움,144,4.215277777777778,0.2161844660194175,19.747261206898393,0.21618446601941746
2023,한화,144,4.194444444444445,0.16850973354197105,-11.661112811749984,0.2011743006738121
2024,KIA,144,5.958333333333333,0.21649312595165673,11.56248153349933,0.22841374926572103
2024,KT,148,5.263513513513513,0.25257460180792296,35.110779062661884,0.21327934669038237
2024,LG,145,5.586206896551724,0.2220482693353971,15.188003109683914,0.21818905800789087
2024,NC,144,5.368055555555555,0.22481532579907187,16.993901215021307,0.2221054593837507
2024,SSG,145,5.23448275862069,0.20654223389041249,5.068108413280475,0.23216086506972577
2024,두산,146,5.404109589041096,0.19791624790619772,-0.5615749524402553,0.22241616248957624
2024,롯데,144,5.569444444444445,0.22272960636813097,15.632672480426095,0.22416503861382794
2024,삼성,144,5.347222222222222,0.2160634250873525,11.282040571453242,0.23425229406627343
2024,키움,144,4.666666666666667,0.20746942299292048,5.673231245246447,0.21855527244845396
2024,한화,144,5.173611111111111,0.22209450468465436,15.218178254542563,0.21777123216859004
2025,KIA,144,4.638888888888889,0.18733314709982907,0.745686597982196,0.21553768403827825
2025,KT,144,4.5,0.18532285115303984,-0.5786295345491385,0.21209749816041204
2025,LG,144,5.472222222222222,0.1981832587351101,7.893379404764424,0.2079391711767487
2025,NC,144,5.083333333333333,0.21075551259381162,16.175562251499063,0.20048162712642065
2025,SSG,144,4.229166666666667,0.18939320186197905,2.1027821837194907,0.1952257145568539
2025,두산,144,4.493055555555555,0.18498819935946803,-0.7990870098355629,0.21996761159826622
2025,롯데,144,4.694444444444445,0.20061174266609852,9.4931838776022,0.20157870622016003
2025,삼성,144,5.381944444444445,0.2095645072239422,15.390967511720214,0.21716069162900073
2025,키움,144,4.034722222222222,0.2340947568957632,31.550680427273566,0.19797837476432026
2025,한화,144,4.784722222222222,,,0.21403856516952846
