season,slot,pa,ab,h,d2,d3,hr,bb,ibb,hbp,sf,so,sb,tb,r,obp,slg,ops,iso,bb_pct,k_pct,rel_ops
2010,1,22717,20441,5400,968,180,360,1825,67,191,93,3576,0.0,7808,0.0,0.3288691796008869,0.38197739836602906,0.710846577966916,0.1178024558485397,0.08033631201302989,0.15741515164854514,0.9761108653016306
2010,2,22177,19794,5346,1040,129,414,1801,35,174,154,3350,0.0,7886,0.0,0.3339415226018337,0.3984035566333232,0.7323450792351569,0.1283217136506012,0.08121026288497092,0.1510574018126888,1.0056318918157479
2010,3,21679,19003,5331,1114,81,709,2295,222,175,177,3640,0.0,8734,0.0,0.36032332563510394,0.4596116402673262,0.8199349659024302,0.17907698784402462,0.1058628165505789,0.16790442363577657,1.1259074093697525
2010,4,21182,18682,5020,1069,56,802,2083,228,214,192,3845,0.0,8607,0.0,0.34561428368995323,0.4607108446633123,0.8063251283532655,0.19200299753773686,0.09833821168917005,0.18152204702105562,1.1072188333556072
2010,5,20654,18381,4865,1029,93,663,1876,144,190,175,4038,0.0,8069,0.0,0.3360973717389196,0.43898590936292914,0.7750832811018488,0.17431042924759263,0.09082986346470417,0.19550692359833446,1.0643185683765992
2010,6,20113,18063,4670,970,80,587,1656,140,175,155,3907,0.0,7561,0.0,0.324255573844082,0.4185904888445995,0.7428460626886815,0.16005093284614957,0.08233480833291901,0.19425247352458608,1.020051492842251
2010,7,19590,17667,4400,857,93,461,1553,127,144,151,3750,0.0,6826,0.0,0.31242633871380987,0.3863700684892738,0.6987964072030837,0.13731816380823003,0.07927514037774375,0.19142419601837674,0.9595639718144903
2010,8,19011,16936,4117,797,86,401,1629,232,149,116,3690,0.0,6289,0.0,0.31306425916091346,0.3713391591875295,0.684403418348443,0.12824752007557866,0.08568723370680133,0.1940981537004892,0.9397999984893857
2010,9,18430,16386,3405,642,68,216,1060,21,137,88,4510,0.0,4831,0.0,0.2604266877935601,0.29482485048211887,0.555251538275679,0.08702550958134993,0.05751492132392838,0.24470971242539338,0.7624529346915693
2011,1,22693,20484,5471,1015,192,430,1737,76,189,112,3634,0.0,8160,0.0,0.32843441967853654,0.39835969537199767,0.7267941150505342,0.1312731888303066,0.0765434274886529,0.160137487330895,1.010329637184053
2011,2,22164,19899,5201,1013,145,420,1631,30,194,143,3497,0.0,7764,0.0,0.3213060776512553,0.39017036031961405,0.7114764379708693,0.12880044223327805,0.07358780003609457,0.15777837935390723,0.9890362573864963
2011,3,21635,19081,5271,1072,89,712,2132,232,196,203,3787,0.0,8657,0.0,0.35161021654636315,0.453697395314711,0.8053076118610741,0.17745401184424298,0.09854402588398428,0.1750404437254449,1.119472668345125
2011,4,21143,18640,4978,1017,61,742,2082,261,200,200,3834,0.0,8343,0.0,0.34371745099895845,0.44758583690987125,0.7913032879088298,0.18052575107296137,0.0984723076195431,0.18133661259045547,1.1000050044707481
2011,5,20624,18533,4832,1078,74,611,1746,148,172,138,3874,0.0,7891,0.0,0.3278449657584147,0.42578103922732424,0.753626004985739,0.1650569254842713,0.08465865011636928,0.18783941039565555,1.047629132408107
2011,6,20096,18166,4619,953,89,579,1566,116,161,135,3957,0.0,7487,0.0,0.316856401038546,0.41214356490146425,0.7289999659400103,0.1578773532973687,0.07792595541401273,0.1969048566878981,1.0133960303794514
2011,7,19547,17667,4390,899,82,460,1479,128,168,138,3735,0.0,6833,0.0,0.3103536911371581,0.3867662874285391,0.6971199785656972,0.1382804098035886,0.07566378472399857,0.19107791476952984,0.969079083653648
2011,8,18950,16949,4123,788,94,369,1548,214,156,124,3684,0.0,6206,0.0,0.3103264632262875,0.3661572954156587,0.6764837586419462,0.12289810608295475,0.081688654353562,0.19440633245382585,0.9403923013081911
2011,9,18393,16286,3382,564,72,229,1097,26,118,81,4486,0.0,4777,0.0,0.2614605846888864,0.29331941544885176,0.5547800001377381,0.08565639199312293,0.05964225520578481,0.2438971347795357,0.7712097066404526
2012,1,22526,20357,5310,1051,199,403,1756,50,180,104,3896,0.0,7968,0.0,0.32352547216145017,0.39141327307560053,0.7149387452370507,0.130569337328683,0.07795436384622215,0.1729556956405931,0.9874324055495912
2012,2,22012,19858,5199,901,157,464,1612,38,175,123,3868,0.0,7806,0.0,0.3209298052186696,0.3930909457145735,0.714020750933243,0.13128210293080875,0.07323278211884426,0.17572233327276032,0.9861645244482682
2012,3,21503,18987,5199,1035,95,790,2148,236,174,177,4040,0.0,8794,0.0,0.3500418877408545,0.4631590035287302,0.8132008912695847,0.18934007478801285,0.09989303818071897,0.18788076082407107,1.1231464480151443
2012,4,21001,18664,5097,1051,60,815,1931,195,221,180,3939,0.0,8713,0.0,0.3452562392836731,0.4668345477925418,0.8120907870762148,0.1937419631375911,0.09194800247607257,0.18756249702395125,1.1216132357485373
2012,5,20532,18513,4805,1001,78,701,1659,106,143,180,4051,0.0,8065,0.0,0.3223713100756282,0.43563982066655865,0.7580111307421868,0.1760924755577162,0.08080070134424314,0.19730177284239236,1.0469215149529345
2012,6,20013,18039,4629,938,84,613,1615,100,177,131,4034,0.0,7574,0.0,0.3216611561967739,0.4198680636398913,0.7415292198366652,0.16325738677310273,0.08069754659471344,0.20156898016289412,1.0241576445627558
2012,7,19469,17706,4417,914,74,534,1403,81,166,111,3996,0.0,7081,0.0,0.3087795316207573,0.39992093075793517,0.7087004623786924,0.15045747204337512,0.07206328008629102,0.20524937079459654,0.9788164469232545
2012,8,18860,16977,4149,783,92,371,1482,215,142,120,3751,0.0,6229,0.0,0.3083702793654185,0.3669081698768923,0.6752784492423107,0.12251870177298699,0.07857900318133616,0.1988865323435843,0.9326558785536874
2012,9,18263,16150,3258,587,88,243,1103,34,116,97,4851,0.0,4750,0.0,0.2563265773502805,0.29411764705882354,0.5504442244091041,0.09238390092879258,0.06039533482998412,0.2656190111153699,0.7602420042977874
2013,1,22618,20372,5403,1023,173,394,1783,54,198,119,3804,0.0,7954,0.0,0.3285866856532574,0.39043785588062047,0.7190245415338778,0.12522089141959553,0.07883101954195773,0.16818463170925813,1.0071002475542483
2013,2,22119,20022,5283,1035,107,474,1565,38,204,134,3788,0.0,7954,0.0,0.32164196123147093,0.39726301068824293,0.7189049719197138,0.13340325641794026,0.0707536507075365,0.1712554817125548,1.0069327726197104
2013,3,21574,18996,5193,1035,82,695,2227,215,172,160,3866,0.0,8477,0.0,0.3522152632799814,0.44625184249315647,0.7984671057731378,0.17287850073699726,0.10322610549735793,0.17919718179289887,1.1183713120175374
2013,4,21097,18839,5060,999,60,772,1882,173,183,183,4286,0.0,8495,0.0,0.33788590126618295,0.45092626997186686,0.7888121712380498,0.182334518817347,0.08920699625539176,0.20315684694506328,1.104848147787754
2013,5,20603,18551,4766,1003,65,617,1698,132,179,145,4249,0.0,7750,0.0,0.3228989452194624,0.41776723626758666,0.740666181487049,0.1608538623254811,0.0824151822550114,0.20623210212105034,1.0374125661126985
2013,6,20073,18095,4532,890,58,597,1584,84,182,151,4156,0.0,7329,0.0,0.3147111732960224,0.4050290135396518,0.7197401868356742,0.1545730864879801,0.0789119713047377,0.2070442883475315,1.0081026146766034
2013,7,19505,17696,4398,884,68,484,1433,78,152,126,4044,0.0,6870,0.0,0.308290822898954,0.38822332730560577,0.6965141502045598,0.13969258589511754,0.07346834145091002,0.20733145347346835,0.9755711141648129
2013,8,18940,17104,4109,808,87,366,1450,219,135,114,3711,0.0,6189,0.0,0.3028240174440249,0.3618451824134705,0.6646691998574954,0.1216089803554724,0.07655755015839494,0.19593453009503695,0.9309675498560552
2013,9,18344,16395,3349,545,72,262,1018,25,131,87,4806,0.0,4824,0.0,0.25511882479723214,0.29423604757548033,0.5493548723727124,0.08996645318694724,0.05549498473615351,0.26199302224160487,0.7694527738670012
2014,1,22511,20462,5493,1023,195,354,1625,46,180,113,3898,0.0,7968,0.0,0.32609472743521,0.38940475026879096,0.7154994777040009,0.12095591828755742,0.07218693083381458,0.17315978854782108,1.0223466922209352
2014,2,21955,19832,5178,993,137,450,1628,49,198,143,3933,0.0,7795,0.0,0.3212696665290583,0.3930516337232755,0.7143213002523339,0.13195845098830172,0.07415167387838761,0.17913914825780006,1.0206632447019708
