gameId,gameDate,year,team,opponent,home,teamScore,oppScore,name,playerCode,season_pa,season_woba,season_wrc,iso,bb_pct
20210408SSOB02021,2021-04-08,2021,삼성,두산,0,6,1,구자욱,62404,610.0,0.22956765676567656,23.574372703753692,0.2136279926335175,0.07868852459016394
20210409KTSS02021,2021-04-09,2021,KT,삼성,0,5,7,황재균,76313,507.0,0.19776237623762374,2.6975403033476217,0.11037527593818984,0.09072978303747535
20210409KTSS02021,2021-04-09,2021,삼성,KT,1,7,5,구자욱,62404,610.0,0.22956765676567656,23.574372703753692,0.2136279926335175,0.07868852459016394
20210409NCHT02021,2021-04-09,2021,KIA,NC,1,6,10,김선빈,78603,564.0,0.20202673796791445,5.496646730327938,0.09381237524950099,0.09929078014184398
20210409NCHT02021,2021-04-09,2021,NC,KIA,0,10,6,이명기,76849,,,,,
20210409OBHH02021,2021-04-09,2021,두산,한화,0,0,7,페르난데,69209,617.0,0.21611237785016288,14.742392662825116,0.12777777777777777,0.1053484602917342
20210409OBHH02021,2021-04-09,2021,한화,두산,1,7,0,박정현,50709,,,,,
20210409SKLG02021,2021-04-09,2021,LG,SSG,1,9,5,오지환,79109,532.0,0.1819090909090909,-7.70847955576599,0.10129310344827586,0.10150375939849623
20210409SKLG02021,2021-04-09,2021,SSG,LG,0,5,9,로맥,67872,,,,,
20210409WOLT02021,2021-04-09,2021,롯데,키움,1,2,7,손아섭,77532,610.0,0.20379470198675498,6.657129766430294,0.07749077490774908,0.1
20210409WOLT02021,2021-04-09,2021,키움,롯데,0,7,2,김혜성,67304,635.0,0.18919462025316455,-2.9262933106136466,0.0626118067978533,0.10236220472440945
20210410KTSS02021,2021-04-10,2021,KT,삼성,0,6,7,배정대,64166,595.0,0.19250508474576272,-0.753320419570939,0.11960784313725491,0.1092436974789916
20210410KTSS02021,2021-04-10,2021,삼성,KT,1,7,6,구자욱,62404,610.0,0.22956765676567656,23.574372703753692,0.2136279926335175,0.07868852459016394
20210410NCHT02021,2021-04-10,2021,KIA,NC,1,2,9,김선빈,78603,564.0,0.20202673796791445,5.496646730327938,0.09381237524950099,0.09929078014184398
20210410NCHT02021,2021-04-10,2021,NC,KIA,0,9,2,이명기,76849,,,,,
20210410OBHH02021,2021-04-10,2021,두산,한화,0,18,1,페르난데,69209,617.0,0.21611237785016288,14.742392662825116,0.12777777777777777,0.1053484602917342
20210410OBHH02021,2021-04-10,2021,한화,두산,1,1,18,박정현,50709,,,,,
20210410SKLG02021,2021-04-10,2021,LG,SSG,1,3,4,라모스,50165,,,,,
20210410SKLG02021,2021-04-10,2021,SSG,LG,0,4,3,추신수,51817,580.0,0.22458506944444448,20.3038264705896,0.18655097613882862,0.17758620689655172
20210410WOLT02021,2021-04-10,2021,롯데,키움,1,13,0,손아섭,77532,610.0,0.20379470198675498,6.657129766430294,0.07749077490774908,0.1
20210410WOLT02021,2021-04-10,2021,키움,롯데,0,0,13,김혜성,67304,635.0,0.18919462025316455,-2.9262933106136466,0.0626118067978533,0.10236220472440945
20210411KTSS02021,2021-04-11,2021,KT,삼성,0,2,4,유한준,74339,,,,,
20210411KTSS02021,2021-04-11,2021,삼성,KT,1,4,2,구자욱,62404,610.0,0.22956765676567656,23.574372703753692,0.2136279926335175,0.07868852459016394
20210411NCHT02021,2021-04-11,2021,KIA,NC,1,3,7,김선빈,78603,564.0,0.20202673796791445,5.496646730327938,0.09381237524950099,0.09929078014184398
20210411NCHT02021,2021-04-11,2021,NC,KIA,0,7,3,이명기,76849,,,,,
20210411OBHH02021,2021-04-11,2021,두산,한화,0,2,3,페르난데,69209,617.0,0.21611237785016288,14.742392662825116,0.12777777777777777,0.1053484602917342
20210411OBHH02021,2021-04-11,2021,한화,두산,1,3,2,장운호,63700,,,,,
20210411SKLG02021,2021-04-11,2021,LG,SSG,1,1,0,이주형,50167,,,,,
20210411SKLG02021,2021-04-11,2021,SSG,LG,0,0,1,오태곤,60558,,,,,
20210411WOLT02021,2021-04-11,2021,롯데,키움,1,2,3,손아섭,77532,610.0,0.20379470198675498,6.657129766430294,0.07749077490774908,0.1
20210411WOLT02021,2021-04-11,2021,키움,롯데,0,3,2,김혜성,67304,635.0,0.18919462025316455,-2.9262933106136466,0.0626118067978533,0.10236220472440945
20210413HHSS02021,2021-04-13,2021,삼성,한화,1,4,3,구자욱,62404,610.0,0.22956765676567656,23.574372703753692,0.2136279926335175,0.07868852459016394
20210413HHSS02021,2021-04-13,2021,한화,삼성,0,3,4,박정현,50709,,,,,
20210413KTOB02021,2021-04-13,2021,KT,두산,0,8,7,황재균,76313,507.0,0.19776237623762374,2.6975403033476217,0.11037527593818984,0.09072978303747535
20210413KTOB02021,2021-04-13,2021,두산,KT,1,7,8,페르난데,69209,617.0,0.21611237785016288,14.742392662825116,0.12777777777777777,0.1053484602917342
20210413LGWO02021,2021-04-13,2021,LG,키움,0,2,8,라모스,50165,,,,,
20210413LGWO02021,2021-04-13,2021,키움,LG,1,8,2,김혜성,67304,635.0,0.18919462025316455,-2.9262933106136466,0.0626118067978533,0.10236220472440945
20210413LTHT02021,2021-04-13,2021,KIA,롯데,1,0,8,김선빈,78603,564.0,0.20202673796791445,5.496646730327938,0.09381237524950099,0.09929078014184398
