순위,name,team,AVG,G,pa,ab,runs,hits,doubles,triples,hr,tb,RBI,SAC,sf,year,bb,ibb,hbp,so,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,woba,wrc_plus,iso,bb_pct
20,김현수,LG,0.293,133,556,488,53,143,22,2,6,187,88,1,8,2023,58,4,1,53,10,0.383,0.364,0.747,43,0.348,0.25,0.1911433756805808,3.2500541891345005,0.09016393442622951,0.10431654676258993
21,안치홍,롯데,0.292,121,494,425,57,124,20,1,8,170,63,5,5,2023,49,3,10,53,14,0.4,0.374,0.774,36,0.355,0.167,0.1988888888888889,8.352840574522364,0.10823529411764705,0.09919028340080972
22,강민호,삼성,0.29,125,495,434,60,126,19,0,16,193,77,1,5,2023,49,4,6,65,17,0.445,0.366,0.811,32,0.301,0.0,0.2083938775510204,14.614778994092262,0.1543778801843318,0.09898989898989899
23,알포드,KT,0.289,133,547,491,83,142,31,3,15,224,70,0,3,2023,47,1,6,140,6,0.456,0.356,0.812,43,0.303,0.667,0.21245970695970698,17.29336960442153,0.1670061099796334,0.08592321755027423
24,장성우,KT,0.288,131,464,410,37,118,22,0,11,173,65,3,7,2023,42,1,2,70,12,0.422,0.351,0.773,36,0.267,0.25,0.1996913043478261,8.881476259359554,0.13414634146341464,0.09051724137931035
25,정수빈,두산,0.287,137,583,498,75,143,14,11,2,185,33,12,2,2023,64,1,7,63,2,0.371,0.375,0.746,42,0.253,0.5,0.19350350877192982,4.804922753985849,0.08433734939759036,0.1097770154373928
26,피렐라,삼성,0.285,139,605,557,66,159,28,1,16,237,80,0,2,2023,42,5,4,69,20,0.425,0.339,0.764,43,0.253,0.0,0.19820666666666667,7.903388850183362,0.1400359066427289,0.06942148760330578
27,소크라테스,KIA,0.285,142,608,547,91,156,31,3,20,253,96,0,8,2023,52,4,1,80,13,0.463,0.344,0.807,41,0.303,0.0,0.20932615894039733,15.228971062857996,0.1773308957952468,0.08552631578947369
28,박해민,LG,0.285,144,558,485,80,138,14,2,6,174,59,24,1,2023,45,0,3,74,7,0.359,0.348,0.707,33,0.313,0.5,0.18239700374531836,-2.512103389387593,0.07422680412371134,0.08064516129032258
29,박병호,KT,0.283,132,493,431,53,122,15,0,18,191,87,0,8,2023,46,2,8,114,9,0.443,0.357,0.8,31,0.34,0.25,0.20536456211812626,12.619049449478375,0.16009280742459397,0.09330628803245436
30,마틴,NC,0.283,118,503,435,55,123,20,2,17,198,90,0,10,2023,57,2,1,107,8,0.455,0.36,0.815,33,0.317,0.0,0.20973652694610778,15.49932374527185,0.1724137931034483,0.11332007952286283
31,양석환,두산,0.281,140,582,524,73,147,28,0,21,238,89,0,11,2023,41,3,6,133,9,0.454,0.333,0.787,40,0.261,0.0,0.2036580310880829,11.494777490713057,0.1736641221374046,0.070446735395189
32,김현준,삼성,0.275,109,479,433,62,119,10,6,3,150,46,8,3,2023,30,0,5,84,5,0.346,0.327,0.673,28,0.288,0.0,0.17398089171974523,-8.056683936475,0.07159353348729793,0.06263048016701461
33,김상수,KT,0.271,129,512,443,58,120,19,1,3,150,56,8,3,2023,55,0,3,68,9,0.339,0.353,0.692,30,0.336,0.5,0.17947420634920638,-4.437658269873697,0.06772009029345373,0.107421875
34,최지훈,SSG,0.268,117,503,462,65,124,19,8,2,165,30,8,1,2023,29,0,3,50,3,0.357,0.315,0.672,31,0.223,0.0,0.17608888888888888,-6.66792389361503,0.08874458874458875,0.05765407554671968
35,류지혁,삼성,0.268,132,522,455,63,122,11,1,2,141,45,10,5,2023,46,1,6,73,12,0.31,0.34,0.65,35,0.271,0.167,0.16651076320939334,-12.978045379488753,0.041758241758241756,0.08812260536398467
36,허경민,두산,0.268,130,475,429,44,115,23,1,7,161,48,0,5,2023,35,3,6,26,6,0.375,0.328,0.703,26,0.224,0.667,0.182228813559322,-2.6229080020938906,0.10722610722610723,0.07368421052631578
37,오지환,LG,0.268,126,502,422,65,113,24,3,8,167,62,4,4,2023,64,0,8,82,4,0.396,0.371,0.767,25,0.298,0.333,0.20033534136546186,9.30577136245905,0.12796208530805686,0.12749003984063745
38,문현빈,한화,0.266,137,481,428,47,114,22,2,5,155,49,9,5,2023,33,2,6,84,7,0.362,0.324,0.686,31,0.252,0.25,0.17800425531914896,-5.406070033127587,0.09579439252336448,0.06860706860706861
39,박성한,SSG,0.266,128,529,459,53,122,19,0,9,168,47,7,4,2023,58,1,1,56,7,0.366,0.347,0.713,30,0.254,0.0,0.18469673704414588,-0.9970265375796659,0.10021786492374728,0.10964083175803403
40,강승호,두산,0.265,127,459,419,51,111,18,6,7,162,59,4,3,2023,27,0,6,110,12,0.387,0.316,0.703,24,0.273,0.167,0.18436703296703294,-1.2142373834787061,0.12171837708830549,0.058823529411764705
41,채은성,한화,0.263,137,596,521,71,137,17,0,23,223,84,0,3,2023,52,8,20,102,16,0.428,0.351,0.779,39,0.311,0.0,0.20038095238095238,9.335820148460616,0.16506717850287908,0.087248322147651
42,김민석,롯데,0.255,129,454,400,53,102,24,0,3,135,39,12,5,2023,31,1,6,112,6,0.338,0.314,0.652,25,0.274,0.0,0.16981632653061224,-10.800322217973706,0.0825,0.06828193832599119
43,추신수,SSG,0.254,112,462,382,65,97,17,1,12,152,41,0,2,2023,65,1,13,79,8,0.398,0.379,0.777,24,0.26,0.3,0.20236876355748373,10.645401003276774,0.14397905759162305,0.1406926406926407
44,로하스,두산,0.253,122,464,403,52,102,24,4,19,191,65,0,3,2023,55,2,3,68,5,0.474,0.345,0.819,28,0.255,0.0,0.2151103896103896,19.039653805109335,0.22084367245657568,0.11853448275862069
45,박동원,LG,0.249,130,481,409,54,102,17,1,20,181,75,8,8,2023,49,3,7,90,7,0.443,0.334,0.777,27,0.212,0.333,0.20117234042553192,9.857190912518906,0.19315403422982885,0.10187110187110188
46,이재현,삼성,0.249,143,538,458,61,114,19,2,12,173,60,16,6,2023,52,0,6,89,9,0.378,0.33,0.708,24,0.24,0.0,0.1846704980842912,-1.0143129075737904,0.12882096069868995,0.09665427509293681
47,최주환,SSG,0.235,134,478,426,48,100,24,0,20,184,63,1,3,2023,44,4,4,94,6,0.432,0.31,0.742,22,0.212,0.286,0.19505285412262155,5.825639929097441,0.19718309859154928,0.09205020920502092
48,김주원,NC,0.233,127,474,403,56,94,9,2,10,137,54,8,4,2023,44,1,15,106,6,0.34,0.328,0.668,21,0.267,0.0,0.17413333333333333,-7.956254569244734,0.10669975186104218,0.09282700421940929
49,정은원,한화,0.222,122,459,388,50,86,12,0,2,104,30,5,1,2023,62,1,3,73,4,0.268,0.333,0.601,16,0.214,0.0,0.15796026490066226,-18.611160343552648,0.04639175257731959,0.13507625272331156
50,김재환,두산,0.22,132,484,405,40,89,15,0,10,134,46,0,2,2023,72,4,5,100,8,0.331,0.343,0.674,21,0.264,0.214,0.17635416666666665,-6.493157445429475,0.1111111111111111,0.1487603305785124
1,에레디아,SSG,0.36,136,591,541,82,195,31,1,21,291,118,0,9,2024,28,3,13,73,12,0.538,0.399,0.937,59,0.428,0.0,0.24781632653061225,32.00532732332259,0.17744916820702403,0.047377326565143825
2,레이예스,롯데,0.352,144,632,574,88,202,40,3,15,293,111,0,11,2024,46,2,1,82,16,0.51,0.394,0.904,61,0.395,0.0,0.23925238095238097,26.41613415109476,0.15853658536585366,0.07278481012658228
3,김도영,KIA,0.347,141,625,544,143,189,29,10,38,352,109,1,7,2024,66,7,7,110,10,0.647,0.42,1.067,58,0.317,0.5,0.2801523500810372,53.10918423063845,0.29963235294117646,0.1056
4,구자욱,삼성,0.343,129,568,493,92,169,39,1,33,309,115,2,6,2024,55,4,12,73,6,0.627,0.417,1.044,52,0.341,0.0,0.27651067615658365,50.7324737707105,0.2839756592292089,0.09683098591549295
5,송성문,키움,0.34,142,602,527,88,179,29,4,19,273,104,0,8,2024,64,2,3,82,5,0.518,0.409,0.927,47,0.372,0.333,0.24505333333333332,30.202081077526994,0.17836812144212524,0.10631229235880399
6,홍창기,LG,0.336,139,637,524,96,176,18,3,5,215,73,1,4,2024,96,3,12,93,8,0.41,0.447,0.857,51,0.389,1.0,0.2278973143759874,19.00533734030059,0.07442748091603053,0.15070643642072212
7,로하스,KT,0.329,144,670,572,108,188,39,1,32,325,112,0,4,2024,88,9,6,115,10,0.568,0.421,0.989,54,0.313,0.0,0.26160211800302574,41.00251803028216,0.2395104895104895,0.13134328358208955
8,김선빈,KIA,0.329,116,466,423,48,139,23,0,9,189,57,7,0,2024,30,0,5,39,13,0.447,0.38,0.827,42,0.35,0.5,0.2216288209606987,14.914253356074392,0.1182033096926714,0.06437768240343347
9,박민우,NC,0.328,121,528,457,75,150,26,2,8,204,50,4,4,2024,54,4,9,79,5,0.446,0.406,0.852,43,0.314,0.0,0.22635576923076922,17.99925976523572,0.11816192560175055,0.10227272727272728
10,김혜성,키움,0.326,127,567,509,90,166,26,4,11,233,75,0,7,2024,47,2,4,62,6,0.458,0.383,0.841,49,0.377,0.0,0.2227787610619469,15.664752913043195,0.13163064833005894,0.08289241622574955
11,오스틴,LG,0.319,140,604,527,99,168,32,3,32,302,132,0,13,2024,61,6,3,82,9,0.573,0.384,0.957,49,0.329,0.0,0.2521053511705686,34.80452624561559,0.25426944971537,0.10099337748344371
12,김지찬,삼성,0.316,135,535,453,102,143,16,3,3,174,36,12,1,2024,60,2,9,40,5,0.384,0.405,0.789,38,0.24,0.333,0.2109136276391555,7.921064900498122,0.0684326710816777,0.11214953271028037
13,양의지,두산,0.314,119,485,430,57,135,18,1,17,206,94,0,6,2024,40,5,9,56,13,0.479,0.379,0.858,37,0.393,0.5,0.22705208333333332,18.453703805336804,0.16511627906976745,0.08247422680412371
14,나승엽,롯데,0.312,121,489,407,59,127,35,4,7,191,66,2,7,2024,69,1,4,83,4,0.469,0.411,0.88,33,0.354,0.4,0.23452057613168723,23.32795815154594,0.15724815724815724,0.1411042944785276
15,소크라테스,KIA,0.31,140,602,552,92,171,30,3,26,285,97,0,5,2024,41,4,4,91,7,0.516,0.359,0.875,49,0.336,0.0,0.23351672240802676,22.672800744607194,0.20652173913043478,0.0681063122923588
16,허경민,두산,0.309,115,477,417,69,129,28,0,7,178,61,0,6,2024,36,0,18,25,8,0.427,0.384,0.811,38,0.296,0.5,0.2171362683438155,11.982223466021813,0.11750599520383694,0.07547169811320754
17,고승민,롯데,0.308,120,532,481,79,148,27,6,14,229,87,1,8,2024,41,0,1,78,10,0.476,0.358,0.834,42,0.307,0.667,0.22201318267419962,15.165104070285595,0.1683991683991684,0.07706766917293233
18,박찬호,KIA,0.307,134,577,515,86,158,24,1,5,199,61,7,6,2024,48,1,1,44,9,0.386,0.363,0.749,49,0.359,0.5,0.19980316344463972,0.6699059517400211,0.07961165048543689,0.0831889081455806
19,데이비슨,NC,0.306,131,567,504,90,154,25,1,46,319,119,0,7,2024,39,5,17,142,12,0.633,0.37,1.003,45,0.255,0.0,0.26685231316725977,44.42901749793301,0.3273809523809524,0.06878306878306878
20,강민호,삼성,0.303,136,452,403,48,122,19,1,19,200,77,0,6,2024,35,2,8,52,17,0.496,0.365,0.861,31,0.274,0.182,0.22933777777777778,19.945444693457496,0.1935483870967742,0.07743362831858407
21,박성한,SSG,0.301,137,564,489,78,147,24,0,10,201,67,3,6,2024,64,3,2,86,11,0.411,0.38,0.791,42,0.302,0.167,0.211078853046595,8.028897991064087,0.11042944785276074,0.11347517730496454
22,문보경,LG,0.301,144,602,519,80,156,35,3,22,263,101,3,13,2024,65,3,2,112,14,0.507,0.372,0.879,40,0.292,0.0,0.23301006711409394,22.342136066316783,0.20616570327552985,0.1079734219269103
23,권희동,NC,0.3,123,511,416,66,125,22,1,13,188,77,2,6,2024,77,1,10,63,10,0.452,0.417,0.869,31,0.391,1.0,0.23202559055118113,21.699625014210472,0.15144230769230768,0.1506849315068493
24,안치홍,한화,0.3,128,533,473,64,142,21,0,13,202,66,1,4,2024,49,1,6,70,10,0.427,0.37,0.797,44,0.317,1.0,0.21352919020715627,9.628091680743477,0.12684989429175475,0.09193245778611632
25,신민재,LG,0.297,128,474,387,78,115,11,6,0,138,40,15,3,2024,64,1,5,47,7,0.357,0.401,0.758,32,0.306,0.333,0.20297379912663757,2.7391969279099424,0.059431524547803614,0.1350210970464135
26,김현수,LG,0.294,137,583,517,61,152,36,2,8,216,69,1,9,2024,47,1,9,76,10,0.418,0.357,0.775,44,0.257,0.25,0.20743029259896728,5.647693094786247,0.12379110251450677,0.08061749571183534
27,윤동희,롯데,0.293,141,613,532,97,156,35,4,14,241,85,2,5,2024,67,1,7,114,10,0.453,0.376,0.829,43,0.319,0.25,0.2224754098360656,15.466773070108115,0.15977443609022557,0.10929853181076672
28,전준우,롯데,0.293,109,483,423,57,124,26,2,17,205,82,1,5,2024,49,0,5,84,11,0.485,0.369,0.854,37,0.243,0.0,0.2289564315352697,19.696562003182272,0.19148936170212766,0.10144927536231885
29,최원준,KIA,0.292,136,508,438,75,128,23,3,9,184,56,7,5,2024,50,0,8,66,6,0.42,0.371,0.791,37,0.301,0.286,0.21222554890219564,8.77728021607921,0.1278538812785388,0.0984251968503937
30,최정,SSG,0.291,129,550,468,93,136,27,2,37,278,107,0,7,2024,55,1,20,114,10,0.594,0.384,0.978,39,0.284,0.0,0.2598870673952641,39.88320345041229,0.3034188034188034,0.1
31,김태연,한화,0.291,126,472,413,59,120,24,0,12,180,61,6,4,2024,45,0,4,89,9,0.436,0.363,0.799,33,0.295,0.0,0.21485193133047212,10.491368494862247,0.14527845036319612,0.09533898305084745
32,강백호,KT,0.289,144,614,550,92,159,27,0,26,264,96,0,2,2024,59,4,3,127,6,0.48,0.36,0.84,43,0.28,0.25,0.22532459016393444,17.32626868337418,0.19090909090909092,0.09609120521172639
33,이우성,KIA,0.288,112,449,399,56,115,16,1,9,160,54,0,3,2024,44,0,3,89,17,0.401,0.361,0.762,27,0.266,1.0,0.2047082405345212,3.8711667642449386,0.11278195488721804,0.09799554565701558
34,서호철,NC,0.285,141,567,512,68,146,19,3,10,201,61,6,3,2024,30,0,16,101,15,0.393,0.342,0.735,38,0.243,0.0,0.19708734402852052,-1.1025526888381614,0.107421875,0.05291005291005291
35,정수빈,두산,0.284,136,608,510,95,145,21,3,4,184,47,10,8,2024,71,1,9,72,8,0.361,0.376,0.737,42,0.248,0.0,0.19791624790619766,-0.5615749524402553,0.07647058823529412,0.11677631578947369
36,김재환,두산,0.283,136,552,474,78,134,28,0,29,249,92,0,9,2024,63,3,6,168,8,0.525,0.368,0.893,30,0.259,0.667,0.23791438979963572,25.542904522635418,0.24261603375527427,0.11413043478260869
37,강승호,두산,0.28,140,566,521,81,146,34,7,18,248,81,2,4,2024,32,4,7,158,8,0.476,0.328,0.804,39,0.29,0.2,0.21532500000000002,10.800113121222457,0.19577735124760076,0.05653710247349823
38,최형우,KIA,0.28,116,487,425,67,119,23,2,22,212,109,0,5,2024,52,4,5,86,5,0.499,0.361,0.86,34,0.331,0.4,0.2295424430641822,20.079017917494713,0.2188235294117647,0.10677618069815195
39,최지훈,SSG,0.275,125,543,483,89,133,22,7,11,202,49,6,2,2024,50,0,2,71,5,0.418,0.345,0.763,39,0.245,0.2,0.20513780260707637,4.1515171449241794,0.14285714285714285,0.09208103130755065
40,배정대,KT,0.275,113,473,404,49,111,25,1,7,159,59,8,7,2024,50,1,4,114,5,0.394,0.355,0.749,30,0.302,1.0,0.20123060344827587,1.6015136843215867,0.1188118811881188,0.10570824524312897
41,페라자,한화,0.275,122,522,455,75,125,24,0,24,221,70,0,2,2024,63,5,2,129,6,0.486,0.364,0.85,34,0.308,0.286,0.2278201160541586,18.954954449688845,0.210989010989011,0.1206896551724138
42,박동원,LG,0.272,130,498,434,58,118,22,0,20,200,80,2,7,2024,55,2,0,112,14,0.461,0.349,0.81,25,0.27,0.5,0.21693319838056682,11.849691417364337,0.1889400921658986,0.11044176706827309
43,노시환,한화,0.272,136,601,526,88,143,20,2,24,239,89,0,4,2024,60,9,11,129,10,0.454,0.356,0.81,35,0.314,0.0,0.21558277027027026,10.968344904275806,0.18250950570342206,0.09983361064891846
44,채은성,한화,0.271,124,498,436,61,118,24,0,20,202,83,0,5,2024,49,1,8,83,12,0.463,0.351,0.814,29,0.27,0.0,0.2193118712273642,13.402113944204997,0.1926605504587156,0.09839357429718876
45,장성우,KT,0.268,131,489,418,53,112,19,0,19,188,81,2,8,2024,60,1,1,86,8,0.45,0.355,0.805,30,0.271,0.133,0.21579423868312758,11.10635813643464,0.18181818181818182,0.12269938650306748
46,이주형,키움,0.266,115,537,473,82,126,19,3,13,190,60,0,1,2024,49,1,14,119,4,0.402,0.352,0.754,36,0.267,0.0,0.20355783582089554,3.1203639815837363,0.13530655391120508,0.09124767225325885
47,박해민,LG,0.263,144,553,482,72,127,16,6,6,173,56,5,9,2024,46,0,11,101,3,0.359,0.336,0.695,35,0.233,0.25,0.18607664233576643,-8.288602408608632,0.0954356846473029,0.08318264014466546
48,박승욱,롯데,0.262,139,468,405,57,106,19,1,7,148,53,3,3,2024,47,3,10,120,7,0.365,0.351,0.716,27,0.246,0.0,0.19300216450216454,-3.76871366656233,0.1037037037037037,0.10042735042735043
49,이재현,삼성,0.26,109,458,389,71,101,18,1,14,163,66,0,3,2024,58,1,8,83,8,0.419,0.365,0.784,27,0.33,0.25,0.2118402625820569,8.525826064461754,0.15938303341902313,0.12663755458515283
50,황재균,KT,0.26,137,536,493,60,128,22,0,13,189,58,5,2,2024,34,0,2,95,16,0.383,0.309,0.692,34,0.238,0.2,0.18728625235404897,-7.499159739515977,0.12373225152129817,0.06343283582089553
51,김휘집,NC,0.258,140,562,488,78,126,24,1,16,200,73,4,8,2024,52,1,10,119,16,0.41,0.337,0.747,33,0.282,0.0,0.20112387791741473,1.5318600879806885,0.15163934426229508,0.09252669039145907
52,최주환,키움,0.257,130,544,482,49,124,23,1,13,188,84,0,9,2024,47,2,6,92,12,0.39,0.325,0.715,36,0.308,0.0,0.19200738007380075,-4.417952067724349,0.13278008298755187,0.08639705882352941
53,김영웅,삼성,0.252,126,509,456,65,115,16,3,28,221,79,1,4,2024,45,0,3,155,2,0.485,0.321,0.806,26,0.31,0.167,0.21739763779527563,12.152804226978906,0.2324561403508772,0.08840864440078586
54,김주원,NC,0.252,134,475,385,61,97,18,2,9,146,49,9,5,2024,51,1,25,111,5,0.379,0.371,0.75,26,0.243,0.0,0.20356344086021505,3.12402206735838,0.12727272727272726,0.10736842105263159
55,양석환,두산,0.246,142,593,533,83,131,25,1,34,260,107,1,3,2024,49,1,7,128,15,0.488,0.316,0.804,34,0.286,0.667,0.21793908629441622,12.506176422874463,0.24202626641651032,0.08263069139966273
56,한유섬,SSG,0.235,132,523,464,64,109,29,0,24,210,87,1,3,2024,46,3,9,142,2,0.453,0.314,0.767,28,0.26,0.167,0.20815414258188825,6.120108215281987,0.21767241379310345,0.08795411089866156
1,양의지,두산,0.337,130,517,454,56,153,27,1,20,242,89,0,6,2025,50,6,7,63,10,0.533,0.406,0.939,44,0.375,0.5,0.23974363992172215,35.27197675382097,0.1960352422907489,0.09671179883945841
2,안현민,KT,0.334,112,482,395,72,132,19,4,22,225,80,0,3,2025,75,5,9,72,4,0.57,0.448,1.018,38,0.333,0.0,0.2592410901467505,48.11624872157382,0.23544303797468355,0.15560165975103735
3,김성윤,삼성,0.331,127,538,456,92,151,29,9,6,216,61,10,2,2025,65,0,5,54,11,0.474,0.419,0.893,45,0.402,0.4,0.23016666666666666,28.96298518332709,0.1425438596491228,0.120817843866171
4,레이예스,롯데,0.326,144,643,573,75,187,44,1,13,272,107,0,9,2025,58,17,3,66,25,0.475,0.386,0.861,60,0.375,0.0,0.21682907348242808,20.176622234509363,0.14834205933682373,0.09020217729393468
5,문현빈,한화,0.32,141,592,528,71,169,30,2,12,239,80,5,11,2025,38,2,10,82,11,0.453,0.37,0.823,53,0.319,0.25,0.21022222222222223,15.824248285240774,0.13257575757575757,0.06418918918918919
6,구자욱,삼성,0.319,142,616,529,106,169,43,2,19,273,96,1,8,2025,73,7,5,91,9,0.516,0.402,0.918,46,0.351,0.333,0.23432565789473683,31.702790328528025,0.19659735349716445,0.1185064935064935
7,송성문,키움,0.315,144,646,574,103,181,37,4,26,304,90,0,3,2025,68,5,1,96,6,0.53,0.387,0.917,53,0.372,0.333,0.23664430577223092,33.230238461092426,0.21428571428571427,0.10526315789473684
8,디아즈,삼성,0.314,144,628,551,93,173,32,0,50,355,158,0,11,2025,60,10,6,100,15,0.644,0.381,1.025,50,0.352,1.0,0.2627669902912621,50.438994509590316,0.33030852994555354,0.09554140127388536
9,신민재,LG,0.313,135,538,463,87,145,15,7,1,177,61,6,4,2025,62,0,3,57,7,0.382,0.395,0.777,37,0.407,0.5,0.20055827067669174,9.4579583087883,0.06911447084233262,0.11524163568773234
10,오스틴,LG,0.313,116,499,425,82,133,25,1,31,253,95,0,11,2025,61,7,2,62,11,0.595,0.393,0.988,38,0.292,0.0,0.25136178861788616,42.92562684103932,0.2823529411764706,0.12224448897795591
11,최형우,KIA,0.307,133,549,469,74,144,30,1,24,248,86,0,5,2025,67,8,8,98,9,0.529,0.399,0.928,38,0.294,0.6,0.23741219963031424,33.73610140428528,0.22174840085287847,0.122040072859745
12,문성주,LG,0.305,135,542,475,57,145,20,2,3,178,70,0,9,2025,54,0,4,59,10,0.375,0.375,0.75,43,0.321,0.167,0.1923579335793358,4.055848869345463,0.06947368421052631,0.0996309963099631
13,박민우,NC,0.302,117,468,404,64,122,25,8,3,172,67,4,4,2025,44,5,12,64,5,0.426,0.384,0.81,37,0.432,0.167,0.2078082788671024,14.234022660348131,0.12376237623762376,0.09401709401709402
14,케이브,두산,0.299,136,593,538,72,161,28,6,16,249,87,0,8,2025,43,1,4,116,7,0.463,0.351,0.814,52,0.31,0.0,0.21030067567567565,15.875930811998638,0.16356877323420074,0.07251264755480608
15,김현수,LG,0.298,140,552,483,66,144,24,0,12,204,90,0,1,2025,64,1,4,73,10,0.422,0.384,0.806,36,0.362,0.4,0.2090181488203267,15.031044760441878,0.12422360248447205,0.11594202898550725
16,전준우,롯데,0.293,114,472,410,50,120,26,1,8,172,70,3,6,2025,44,2,9,71,9,0.42,0.369,0.789,29,0.359,0.25,0.20298929336188437,11.05943522848873,0.12682926829268293,0.09322033898305085
17,김주원,NC,0.289,144,624,539,98,156,26,8,15,243,65,4,2,2025,63,1,16,111,8,0.451,0.379,0.83,40,0.306,0.333,0.21585783521809374,19.536802757161254,0.1614100185528757,0.10096153846153846
18,채은성,한화,0.288,132,527,480,54,138,27,1,19,224,88,3,0,2025,31,5,13,96,4,0.467,0.347,0.814,39,0.333,0.0,0.21121965317919075,16.48132263765606,0.17916666666666667,0.058823529411764705
19,박찬호,KIA,0.287,134,595,516,75,148,18,2,5,185,42,8,6,2025,62,0,3,69,7,0.359,0.363,0.722,37,0.294,0.0,0.1866626916524702,0.30401284019595126,0.07170542635658915,0.10420168067226891
20,최지훈,SSG,0.284,140,574,517,66,147,16,4,7,192,45,4,5,2025,43,2,5,87,2,0.371,0.342,0.713,37,0.28,0.286,0.18395774647887325,-1.477915107641088,0.08704061895551257,0.07491289198606271
21,허경민,KT,0.283,114,481,420,47,119,18,0,4,149,44,3,4,2025,39,1,15,35,14,0.355,0.362,0.717,33,0.29,0.0,0.18532285115303984,-0.5786295345491385,0.07142857142857142,0.08108108108108109
22,류지혁,삼성,0.28,129,464,400,54,112,14,0,1,129,37,14,4,2025,33,0,13,73,11,0.323,0.351,0.674,29,0.247,0.2,0.1741777777777778,-7.920633328905209,0.0425,0.07112068965517242
23,고명준,SSG,0.278,130,500,471,46,131,20,1,17,204,64,0,7,2025,20,1,2,99,12,0.433,0.306,0.739,43,0.235,0.0,0.1914428857715431,3.453045796577594,0.15498938428874734,0.04
24,박해민,LG,0.276,144,544,442,80,122,18,2,3,153,43,22,4,2025,68,0,8,94,7,0.346,0.379,0.725,29,0.231,0.0,0.18925670498084293,2.012862576600236,0.07013574660633484,0.125
25,문보경,LG,0.276,141,607,515,91,142,21,1,24,237,108,0,9,2025,79,3,4,108,15,0.46,0.371,0.831,38,0.274,0.333,0.21451655629139071,18.653212794352967,0.18446601941747573,0.1301482701812191
26,최주환,키움,0.275,120,506,459,45,126,31,1,12,195,74,0,6,2025,36,2,5,66,8,0.425,0.33,0.755,33,0.291,0.5,0.19537103174603174,6.040777763734979,0.1503267973856209,0.07114624505928854
27,박성한,SSG,0.274,127,538,452,73,124,23,2,7,172,48,2,2,2025,79,1,3,93,6,0.381,0.384,0.765,31,0.275,0.5,0.1995551401869159,8.797129293654486,0.10619469026548672,0.14684014869888476
28,한유섬,SSG,0.273,128,511,455,50,124,24,0,15,193,71,1,2,2025,46,3,7,120,6,0.424,0.347,0.771,36,0.291,0.333,0.20026429980276136,9.264300070824811,0.15164835164835164,0.09001956947162426
29,고승민,롯데,0.271,121,538,469,71,127,21,2,4,164,45,6,4,2025,56,1,3,83,8,0.35,0.35,0.7,36,0.241,0.0,0.18159133709981168,-3.0368269294900334,0.07889125799573561,0.10408921933085502
30,강민호,삼성,0.269,127,465,412,37,111,23,1,12,172,71,1,7,2025,38,4,7,69,16,0.417,0.336,0.753,26,0.333,0.3,0.19410217391304346,5.204896409649291,0.14805825242718446,0.08172043010752689
31,오선우,KIA,0.265,124,474,437,58,116,17,1,18,189,56,0,0,2025,34,2,3,158,11,0.432,0.323,0.755,32,0.239,0.143,0.19745974576271186,7.4167531135096105,0.16704805491990846,0.07172995780590717
32,노시환,한화,0.26,144,624,539,97,140,28,2,32,268,101,0,4,2025,70,10,11,125,22,0.497,0.354,0.851,37,0.29,0.0,0.22016123778501628,22.371741291089403,0.23747680890538034,0.11217948717948718
33,정수빈,두산,0.258,132,546,462,89,119,16,4,6,161,38,8,4,2025,61,2,11,57,7,0.348,0.355,0.703,27,0.212,1.0,0.18364179104477615,-1.6860560429118499,0.09090909090909091,0.11172161172161173
34,이재현,삼성,0.254,139,555,457,82,116,29,1,16,195,67,10,8,2025,69,1,11,119,8,0.427,0.36,0.787,29,0.256,0.333,0.2046047794117647,12.123663727358684,0.17286652078774617,0.12432432432432433
35,오지환,LG,0.253,127,472,419,57,106,24,1,16,180,62,7,6,2025,37,0,3,115,4,0.43,0.314,0.744,27,0.283,0.333,0.19423870967741935,5.294841631754168,0.1766109785202864,0.07838983050847458
36,박동원,LG,0.253,139,523,451,57,114,25,0,22,205,76,3,5,2025,62,4,2,124,10,0.455,0.342,0.797,27,0.235,0.143,0.20707558139534885,13.751345926279235,0.2017738359201774,0.11854684512428298
37,김휘집,NC,0.249,142,500,429,64,107,18,2,17,180,56,2,2,2025,40,0,27,89,9,0.42,0.349,0.769,29,0.242,0.333,0.2019658634538153,10.385233631487226,0.17016317016317017,0.08
38,김영웅,삼성,0.249,125,499,446,66,111,22,2,22,203,72,0,3,2025,48,3,2,143,6,0.455,0.323,0.778,25,0.268,0.0,0.20339314516129034,11.325479366895,0.2062780269058296,0.09619238476953908
39,장성우,KT,0.247,129,480,413,44,102,13,0,14,157,58,2,8,2025,55,1,2,96,13,0.38,0.333,0.713,25,0.191,0.25,0.18558280922431866,-0.40737780013356184,0.13317191283292978,0.11458333333333333
40,권희동,NC,0.246,136,456,358,56,88,24,0,6,130,39,8,2,2025,77,0,11,80,10,0.363,0.393,0.756,21,0.247,0.077,0.19960714285714287,8.831386923843851,0.11731843575418995,0.16885964912280702
41,최원준,NC,0.242,126,449,413,62,100,13,3,6,137,44,2,5,2025,23,0,6,71,5,0.332,0.289,0.621,24,0.224,0.2,0.16142505592841166,-16.321702487789267,0.08958837772397095,0.051224944320712694
