season,team,teamId,gamesPlayed,plateAppearances,runs
2014,San Francisco Giants,137,162,6087,665
2014,Minnesota Twins,142,162,6233,715
2014,Washington Nationals,120,162,6216,686
2014,Cleveland Indians,114,162,6222,669
2014,St. Louis Cardinals,138,162,6086,619
2014,Miami Marlins,146,162,6185,645
2014,Chicago White Sox,145,162,6077,660
2014,Milwaukee Brewers,158,162,6065,650
2014,Arizona Diamondbacks,109,162,6089,615
2014,Tampa Bay Rays,139,162,6205,612
2014,New York Yankees,147,162,6082,633
2014,Oakland Athletics,133,162,6245,729
2014,Boston Red Sox,111,162,6226,634
2014,Seattle Mariners,136,162,5977,634
2014,Philadelphia Phillies,143,162,6198,619
2014,Houston Astros,117,162,6055,629
2014,Atlanta Braves,144,162,6064,573
2014,Chicago Cubs,112,162,6102,614
2014,New York Mets,121,162,6145,629
2014,Cincinnati Reds,113,162,5978,595
2014,San Diego Padres,135,162,5905,535
2015,Detroit Tigers,116,161,6159,689
2015,Toronto Blue Jays,141,162,6232,891
2015,Kansas City Royals,118,162,6116,724
2015,San Francisco Giants,137,162,6153,696
2015,Colorado Rockies,115,162,6071,737
2015,Boston Red Sox,111,162,6237,748
2015,Arizona Diamondbacks,109,162,6276,720
2015,Miami Marlins,146,162,5988,613
2015,Pittsburgh Pirates,134,162,6285,697
2015,Texas Rangers,140,162,6187,751
2015,Cleveland Indians,114,161,6109,669
2015,St. Louis Cardinals,138,162,6139,647
2015,Tampa Bay Rays,139,162,6071,644
2015,Milwaukee Brewers,158,162,6024,655
2015,Atlanta Braves,144,162,6034,573
2015,Washington Nationals,120,162,6117,703
2015,New York Yankees,147,162,6268,764
2015,Oakland Athletics,133,162,6171,694
2015,Los Angeles Dodgers,119,162,6090,667
2015,Baltimore Orioles,110,162,6007,713
2015,Houston Astros,117,162,6073,729
2015,Chicago White Sox,145,162,6070,622
2015,Seattle Mariners,136,162,6131,656
2015,Philadelphia Phillies,143,162,6053,626
2015,Cincinnati Reds,113,162,6196,640
2015,Minnesota Twins,142,162,6017,696
2015,Los Angeles Angels,108,162,5990,661
2015,New York Mets,121,162,6145,683
2015,Chicago Cubs,112,162,6200,689
2015,San Diego Padres,135,162,6019,650
2016,Boston Red Sox,111,162,6320,878
2016,Colorado Rockies,115,162,6236,845
2016,Detroit Tigers,116,161,6127,750
2016,Miami Marlins,146,161,6134,655
2016,Texas Rangers,140,162,6089,765
2016,Cleveland Indians,114,161,6155,777
2016,Kansas City Royals,118,162,6052,675
2016,Arizona Diamondbacks,109,162,6260,752
2016,Los Angeles Angels,108,162,6041,717
2016,Seattle Mariners,136,162,6227,768
2016,San Francisco Giants,137,162,6271,715
2016,Pittsburgh Pirates,134,162,6261,729
2016,Chicago White Sox,145,162,6131,686
2016,Chicago Cubs,112,162,6335,808
2016,Baltimore Orioles,110,162,6089,744
2016,Cincinnati Reds,113,162,6094,716
2016,Washington Nationals,120,162,6201,763
2016,St. Louis Cardinals,138,162,6223,779
2016,Atlanta Braves,144,161,6192,649
2016,New York Yankees,147,162,6059,680
2016,Minnesota Twins,142,162,6245,722
2016,Los Angeles Dodgers,119,162,6164,725
2016,Toronto Blue Jays,141,162,6233,759
