year,bo,code,PA,AB,R,H,2B,3B,HR,TB,RBI,GO,FO,BB,HP,IB,SO,GDP,SH,SF,n_players
2024,1,1001,694,590,125,173,29,5,5,227,43,198,153,77,11,2,69,7,13,3,17
2024,1,2002,706,618,120,190,27,2,15,266,81,166,193,69,4,0,78,11,6,9,15
2024,1,3001,690,615,119,176,35,8,6,245,52,176,150,60,5,0,118,8,5,5,14
2024,1,5002,690,578,101,185,17,4,4,222,76,166,129,94,10,3,105,9,1,7,13
2024,1,6002,700,598,106,166,25,3,10,227,57,173,167,76,9,1,99,10,10,7,16
2024,1,7002,701,621,96,167,26,3,15,244,77,174,148,66,4,0,136,9,6,4,18
2024,1,9002,697,618,110,166,27,7,14,249,69,154,194,64,3,0,110,5,6,6,16
2024,1,10001,689,606,97,160,23,6,11,228,61,148,162,60,16,0,140,6,3,4,16
2024,1,11001,705,612,98,186,28,2,11,251,70,148,163,66,13,4,123,11,6,8,16
2024,1,12001,711,631,112,213,37,6,23,331,107,146,155,68,5,4,123,9,1,6,15
2024,2,1001,681,601,100,153,22,2,20,239,86,154,175,62,9,0,122,8,6,3,22
2024,2,2002,688,603,120,205,40,3,21,314,97,126,175,64,8,1,103,7,7,6,16
2024,2,3001,678,607,114,186,36,10,17,293,94,173,150,58,4,0,103,13,4,5,21
2024,2,5002,682,574,106,169,20,8,4,217,73,161,157,82,9,0,94,10,10,7,18
2024,2,6002,675,577,89,154,27,1,6,201,75,162,186,55,22,3,84,15,12,9,20
2024,2,7002,683,594,90,154,23,0,22,243,80,148,144,73,9,2,153,9,2,5,21
2024,2,9002,676,582,96,172,31,3,12,245,72,138,145,71,8,2,132,11,10,5,19
2024,2,10001,678,610,97,184,38,3,14,270,77,156,164,54,9,0,109,10,2,3,12
2024,2,11001,687,597,93,165,28,3,8,223,59,166,138,58,18,0,131,8,11,3,17
2024,2,12001,692,612,93,176,22,2,15,247,72,185,145,67,6,5,110,11,3,4,18
2024,3,1001,666,574,91,183,42,0,31,318,121,142,161,65,15,4,97,12,3,9,20
2024,3,2002,675,590,128,177,32,7,34,325,117,147,141,77,5,7,128,17,0,3,16
2024,3,3001,665,597,93,184,34,5,22,294,122,145,166,49,9,2,112,13,0,10,18
2024,3,5002,672,600,90,194,31,3,20,291,110,140,186,60,3,1,87,16,2,7,20
2024,3,6002,660,594,88,178,39,5,23,296,115,130,175,51,7,2,118,13,1,7,15
2024,3,7002,664,589,83,157,33,1,13,231,80,158,160,62,5,5,119,19,3,5,14
2024,3,9002,659,557,110,159,29,2,41,315,128,106,173,71,23,1,127,13,0,8,15
2024,3,10001,659,584,104,195,39,4,18,296,101,153,160,62,8,2,81,10,0,5,12
2024,3,11001,669,611,98,191,43,2,27,319,114,150,151,44,9,6,123,15,1,4,16
2024,3,12001,678,584,91,157,31,1,28,274,96,129,175,81,3,3,130,16,3,7,18
2024,4,1001,704,616,81,181,25,0,28,290,117,127,190,70,6,4,130,16,0,12,22
2024,4,2002,664,584,84,160,30,3,26,274,133,141,164,65,5,3,128,9,0,9,14
2024,4,3001,654,596,82,202,42,4,16,300,109,164,152,46,2,2,87,16,1,9,15
2024,4,5002,657,570,97,175,38,4,31,314,133,126,170,65,6,5,113,10,2,14,14
2024,4,6002,647,571,82,159,31,0,29,277,110,104,164,57,8,5,154,14,1,10,17
2024,4,7002,644,563,89,159,21,2,26,262,102,118,158,64,12,8,133,8,0,5,14
2024,4,9002,643,593,81,189,35,1,20,286,113,130,177,27,13,1,106,10,1,9,10
2024,4,10001,647,566,80,164,23,2,17,242,104,138,163,68,5,5,109,9,0,8,14
2024,4,11001,660,569,97,174,28,1,45,339,132,104,168,66,15,3,133,13,0,10,16
2024,4,12001,606,525,77,137,20,0,29,244,104,107,129,69,8,1,155,11,1,3,20
2024,5,1001,621,552,70,135,23,3,24,236,90,121,162,55,5,2,142,12,1,8,23
2024,5,2002,651,587,91,189,29,4,25,301,116,148,145,50,6,2,113,12,0,8,18
2024,5,3001,644,563,82,160,42,5,15,257,93,132,158,66,7,0,118,8,3,5,19
2024,5,5002,643,558,80,148,27,1,20,237,96,136,161,63,6,6,126,16,3,13,19
