year,bo,code,PA,AB,R,H,2B,3B,HR,TB,RBI,GO,FO,BB,HP,IB,SO,GDP,SH,SF,n_players
2024,5,6002,633,556,89,133,21,0,33,253,108,102,177,65,7,3,148,15,1,4,13
2024,5,7002,628,533,82,160,29,0,20,249,94,118,160,76,12,1,100,14,2,5,16
2024,5,9002,628,560,75,136,33,0,21,232,89,126,144,51,9,4,158,8,4,4,16
2024,5,10001,830,731,81,180,33,1,17,266,117,172,227,70,11,1,169,20,1,17,20
2024,5,11001,438,381,51,105,9,1,11,149,59,90,111,45,7,1,80,5,0,5,17
2024,5,12001,656,569,83,161,19,0,21,243,96,139,153,73,6,2,122,13,2,6,17
2024,6,1001,591,517,80,127,29,1,17,209,66,123,118,58,11,0,152,9,2,3,23
2024,6,2002,632,574,68,177,28,2,15,254,83,167,136,38,8,3,96,14,9,2,19
2024,6,3001,635,542,80,165,41,4,15,259,90,127,146,67,11,3,116,9,3,12,21
2024,6,5002,621,537,69,154,36,1,16,240,84,113,149,67,7,2,130,10,1,9,18
2024,6,6002,611,551,86,167,33,6,27,293,95,104,141,42,10,1,144,9,3,5,18
2024,6,7002,617,553,60,148,26,4,10,212,72,153,148,46,8,1,108,12,6,4,23
2024,6,9002,611,549,64,140,22,0,13,201,66,149,137,47,4,2,128,14,6,5,19
2024,6,10001,683,596,58,149,22,2,12,211,71,137,164,66,7,0,155,13,5,9,24
2024,6,11001,550,482,59,112,18,3,14,178,71,115,146,47,13,0,114,15,3,5,15
2024,6,12001,653,576,70,149,24,1,16,223,76,136,159,60,6,2,136,17,7,4,20
2024,7,1001,557,493,68,133,18,2,29,242,84,106,123,39,11,0,138,8,7,7,26
2024,7,2002,615,526,73,146,17,4,11,204,58,135,151,76,5,1,98,16,4,4,18
2024,7,3001,618,532,56,127,20,1,13,188,76,109,152,65,10,2,148,8,7,4,26
2024,7,5002,604,521,63,127,30,1,8,183,70,127,147,69,6,0,122,13,6,2,21
2024,7,6002,598,533,65,139,27,1,9,195,65,127,152,48,9,0,119,7,4,4,22
2024,7,7002,600,546,66,160,27,3,10,223,67,128,144,38,10,0,116,11,4,2,23
2024,7,9002,594,541,64,141,27,1,12,206,57,154,134,41,2,2,115,13,7,3,23
2024,7,10001,632,564,54,134,21,2,7,180,59,134,141,50,8,0,158,16,7,3,24
2024,7,11001,578,506,64,132,20,2,10,186,65,122,125,53,10,0,130,15,6,3,19
2024,7,12001,654,583,77,168,37,4,11,246,64,144,132,50,5,1,144,15,11,5,22
2024,8,1001,595,513,65,143,16,2,14,205,60,127,110,59,11,0,136,6,9,3,27
2024,8,2002,601,539,68,150,30,0,12,216,70,169,146,34,10,0,81,23,11,7,16
2024,8,3001,604,533,58,124,15,2,14,185,68,153,129,45,14,3,131,15,8,4,20
2024,8,5002,589,501,79,124,26,3,7,177,66,131,150,61,14,1,104,7,5,8,20
2024,8,6002,586,503,69,146,27,2,10,207,58,113,139,62,3,2,111,10,12,6,24
2024,8,7002,589,508,68,126,18,3,6,168,63,141,145,48,14,0,103,14,12,7,21
2024,8,9002,577,518,66,140,17,2,13,200,71,138,146,44,5,0,98,7,6,4,24
2024,8,10001,591,525,60,125,17,1,4,156,41,133,137,40,13,2,131,11,12,1,27
2024,8,11001,589,510,69,110,19,0,25,204,71,78,139,51,10,0,190,6,10,8,18
2024,8,12001,590,516,74,129,15,0,5,159,58,144,126,58,4,0,119,8,10,2,29
2024,9,1001,568,496,53,104,8,2,5,131,44,138,111,44,7,1,148,14,16,5,25
2024,9,2002,580,503,73,148,33,3,4,199,57,150,120,56,8,1,90,10,8,5,18
2024,9,3001,578,525,56,130,20,2,7,175,53,124,128,38,6,0,146,10,6,3,25
2024,9,5002,567,480,72,118,13,4,5,154,57,134,146,55,10,0,88,7,16,6,25
2024,9,6002,570,492,70,133,13,3,3,161,60,149,117,54,6,0,100,7,11,7,20
2024,9,7002,576,498,66,120,21,2,5,160,63,133,139,57,11,1,109,13,7,3,21
2024,9,9002,562,483,63,124,18,4,6,168,59,128,114,54,10,0,121,4,11,4,23
2024,9,10001,581,507,79,112,21,3,13,178,51,118,133,52,8,0,149,8,9,5,25
2024,9,11001,562,467,69,119,18,1,12,175,55,113,124,53,26,0,116,5,11,5,20
2024,9,12001,588,499,66,127,21,2,9,179,72,128,146,56,7,0,100,14,24,2,26
