year,name,p_no,code,pos,PA,AB,R,H,2B,3B,HR,TB,RBI,GO,FO,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS
2021,신용수,14169,3001,CF,44,39,11,16,1,1,0,19,1,8,10,3,1,0,5,0,1,0,0.410,0.465,0.487,0.952
2021,안재석,14771,6002,SS,13,10,4,4,1,0,0,5,0,4,1,2,1,0,1,0,0,0,0.400,0.538,0.500,1.038
2021,오태곤,10249,9002,LF,19,18,4,7,1,0,2,14,7,5,4,1,0,0,2,1,0,0,0.389,0.421,0.778,1.199
2021,박건우,10189,6002,RF,54,48,13,18,7,0,1,28,6,8,12,6,0,0,10,1,0,0,0.375,0.444,0.583,1.027
2021,전민수,10417,11001,RF,17,16,2,6,0,0,1,9,6,1,7,1,0,0,2,1,0,0,0.375,0.412,0.563,0.975
2021,배정대,11212,12001,CF,60,52,6,17,2,0,0,19,8,14,7,7,0,1,14,1,1,0,0.327,0.407,0.365,0.772
2021,홍창기,12546,5002,CF,644,518,100,169,25,2,4,210,52,136,121,108,16,4,94,6,0,2,0.326,0.455,0.405,0.860
2021,김민혁,11339,12001,LF,78,67,5,21,4,0,1,28,4,24,17,8,1,0,5,2,2,0,0.313,0.395,0.418,0.813
2021,조수행,12524,6002,CF,14,13,1,4,0,0,0,4,0,1,3,0,1,0,5,0,0,0,0.308,0.357,0.308,0.665
2021,권희동,11172,11001,RF,17,13,2,4,0,0,1,7,6,1,5,4,0,0,3,0,0,0,0.308,0.471,0.538,1.009
2021,박해민,11190,1001,CF,425,357,64,109,20,1,4,143,42,87,98,54,3,1,67,3,7,4,0.305,0.397,0.401,0.798
2021,안치홍,10014,3001,2B,122,105,10,32,5,1,2,45,18,31,25,15,0,1,17,2,2,0,0.305,0.392,0.429,0.821
2021,송민섭,11342,12001,RF,16,10,2,3,0,0,0,3,3,1,1,2,0,0,5,0,4,0,0.300,0.417,0.300,0.717
2021,최정원,14221,11001,2B,146,131,23,39,2,1,0,43,6,41,23,10,4,0,28,0,1,0,0.298,0.366,0.328,0.694
2021,정수빈,10195,6002,CF,192,176,32,52,16,2,2,78,20,62,40,10,2,1,23,2,3,1,0.295,0.339,0.443,0.782
2021,최원준,12534,2002,CF,663,585,80,172,21,6,4,217,43,183,165,60,11,0,68,7,4,3,0.294,0.369,0.371,0.740
2021,추신수,14888,9002,RF,166,135,24,39,6,1,6,65,18,33,27,28,2,2,37,0,0,1,0.289,0.416,0.481,0.897
2021,고종욱,10659,9002,LF,65,59,8,17,3,0,1,23,6,19,13,6,0,0,10,3,0,0,0.288,0.354,0.390,0.744
2021,정훈,10253,3001,1B,65,52,10,15,1,0,2,22,5,14,15,12,1,1,8,1,0,0,0.288,0.431,0.423,0.854
2021,허경민,10184,6002,3B,337,310,47,89,17,1,4,120,36,120,77,24,2,1,25,14,0,1,0.287,0.341,0.387,0.728
2021,구자욱,10892,1001,RF,49,46,5,13,1,1,2,22,4,13,10,3,0,1,10,1,0,0,0.283,0.327,0.478,0.805
2021,정은원,13137,7002,2B,605,493,85,139,22,5,6,189,39,126,127,104,1,1,104,9,4,3,0.282,0.406,0.383,0.789
2021,마차도,14629,3001,SS,245,219,39,61,6,0,1,70,21,65,66,20,2,0,30,3,1,3,0.279,0.340,0.320,0.660
2021,이용규,10035,10001,LF,353,299,60,83,11,2,1,101,26,104,89,40,4,1,28,3,5,5,0.278,0.365,0.338,0.703
2021,서건창,10855,10001,2B,125,113,18,31,4,1,3,46,10,32,31,11,1,0,19,6,0,0,0.274,0.344,0.407,0.751
2021,김혜성,12905,10001,SS,161,146,16,39,3,0,1,45,16,49,32,13,0,0,28,2,0,2,0.267,0.323,0.308,0.631
2021,이천웅,10935,5002,CF,21,19,1,5,1,0,0,6,2,5,5,2,0,0,4,0,0,0,0.263,0.333,0.316,0.649
2021,박민우,11137,11001,2B,184,155,26,40,4,2,1,51,16,44,54,19,5,0,19,2,3,2,0.258,0.354,0.329,0.683
2021,최지훈,14587,9002,CF,352,304,49,77,13,4,2,104,27,73,111,36,4,0,48,4,3,5,0.253,0.335,0.342,0.677
2021,김상수,10320,1001,2B,115,95,14,23,2,1,0,27,5,32,28,17,1,0,12,2,2,0,0.242,0.363,0.284,0.647
2021,이명기,10119,11001,LF,93,77,6,18,2,0,0,20,3,29,22,16,0,0,8,1,0,0,0.234,0.366,0.260,0.626
2021,조용호,12943,12001,LF,428,352,60,82,10,1,0,94,35,116,88,66,2,0,69,5,5,3,0.233,0.355,0.267,0.622
2021,손아섭,10261,3001,RF,28,26,2,6,0,0,0,6,1,10,9,2,0,0,1,0,0,0,0.231,0.286,0.231,0.517
2021,김지찬,14618,1001,SS,46,44,7,10,1,0,1,14,3,19,9,2,0,0,6,0,0,0,0.227,0.261,0.318,0.579
2021,김강민,10108,9002,CF,73,67,8,15,2,0,2,23,6,12,21,4,1,0,19,1,1,0,0.224,0.278,0.343,0.621
2021,추재현,13094,3001,RF,60,54,7,12,3,0,1,18,7,19,16,3,2,0,7,0,1,0,0.222,0.288,0.333,0.621
2021,민병헌,10188,3001,CF,10,9,1,2,2,0,0,4,0,5,1,1,0,0,1,1,0,0,0.222,0.300,0.444,0.744
2021,정현,11111,11001,SS,32,27,1,6,2,0,0,8,3,8,8,3,0,0,5,3,2,0,0.222,0.300,0.296,0.596
2021,김재유,11483,3001,CF,74,68,6,14,3,0,0,17,2,24,12,2,1,0,18,0,3,0,0.206,0.239,0.250,0.489
2021,황재균,10407,12001,3B,37,34,4,7,2,0,1,12,5,9,13,2,0,0,6,0,0,1,0.206,0.243,0.353,0.596
2021,김기환,11400,11001,RF,95,88,8,17,3,2,1,27,9,30,12,7,0,0,29,1,0,0,0.193,0.253,0.307,0.560
2021,노수광,11268,7002,LF,11,11,0,2,0,0,0,2,0,3,2,0,0,0,4,0,0,0,0.182,0.182,0.182,0.364
2021,박준태,11260,10001,CF,23,18,2,3,1,0,0,4,0,4,4,5,0,0,7,0,0,0,0.167,0.348,0.222,0.570
2021,김인태,11098,6002,LF,36,28,5,4,1,0,1,8,2,10,8,7,0,0,6,1,1,0,0.143,0.314,0.286,0.600
2021,김헌곤,10640,1001,RF,11,7,2,1,0,0,0,1,2,2,6,2,0,0,0,0,0,2,0.143,0.273,0.143,0.416
2021,정진기,10717,9002,RF,50,47,4,6,1,0,3,16,7,17,15,1,0,0,9,0,2,0,0.128,0.146,0.340,0.486
2021,윤형준,11135,11001,1B,10,9,0,1,0,0,0,1,1,3,3,0,0,0,3,0,0,1,0.111,0.100,0.111,0.211
2021,심우준,11334,12001,SS,19,18,1,2,0,0,0,2,0,4,9,0,0,0,3,0,1,0,0.111,0.111,0.111,0.222
