year,name,p_no,code,pos,PA,AB,R,H,2B,3B,HR,TB,RBI,GO,FO,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS
2022,고승민,14160,3001,RF,13,13,4,8,1,0,1,12,4,3,2,0,0,0,0,0,0,0,0.615,0.615,0.923,1.538
2022,렉스,15152,3001,RF,51,45,8,17,1,1,2,26,4,7,13,5,1,2,8,1,0,0,0.378,0.451,0.578,1.029
2022,조세진,15046,3001,LF,11,11,1,4,1,0,0,5,2,3,1,0,0,0,3,0,0,0,0.364,0.364,0.455,0.819
2022,신용수,14169,3001,CF,14,14,3,5,2,0,0,7,1,3,3,0,0,0,3,0,0,0,0.357,0.357,0.500,0.857
2022,구자욱,10892,1001,RF,19,17,4,6,2,0,1,11,3,5,2,1,1,0,4,1,0,0,0.353,0.421,0.647,1.068
2022,정수빈,10195,6002,CF,163,146,23,51,6,1,3,68,17,48,31,14,1,1,18,2,0,2,0.349,0.405,0.466,0.871
2022,류지혁,10894,2002,3B,207,168,28,54,8,0,1,65,20,53,29,31,2,0,33,2,5,1,0.321,0.431,0.387,0.818
2022,조용호,12943,12001,LF,483,430,48,135,16,4,3,168,43,121,111,45,3,3,66,3,2,3,0.314,0.380,0.391,0.771
2022,안권수,14571,6002,LF,208,186,34,58,6,2,0,68,13,56,41,21,0,0,31,6,1,0,0.312,0.382,0.366,0.748
2022,김태진,11244,2002,3B,77,71,14,22,2,0,0,24,4,24,19,4,0,0,7,0,1,1,0.310,0.342,0.338,0.680
2022,라가레스,15151,9002,LF,43,36,7,11,1,0,1,15,7,12,14,2,1,1,2,1,1,3,0.306,0.333,0.417,0.750
2022,허경민,10184,6002,3B,161,136,21,41,4,0,3,54,22,42,42,18,4,3,14,4,0,3,0.301,0.391,0.397,0.788
2022,홍창기,12546,5002,RF,388,323,59,96,15,3,1,120,37,114,61,44,15,0,56,4,2,4,0.297,0.402,0.372,0.774
2022,김현준,14867,1001,CF,249,219,34,65,11,3,0,82,15,69,40,27,1,0,45,1,2,0,0.297,0.377,0.374,0.751
2022,손아섭,10261,11001,RF,312,277,34,80,18,1,2,106,11,94,65,32,0,1,40,2,1,2,0.289,0.360,0.383,0.743
2022,박찬호,11261,2002,SS,388,338,59,97,16,0,3,122,29,108,93,39,1,0,44,4,6,4,0.287,0.359,0.361,0.720
2022,안치홍,10014,3001,2B,233,203,32,58,12,0,6,88,25,63,60,26,1,4,24,2,1,2,0.286,0.366,0.433,0.799
2022,황성빈,14642,3001,CF,177,167,28,47,5,2,1,59,6,59,36,8,0,0,25,1,2,0,0.281,0.314,0.353,0.667
2022,김인태,11098,6002,LF,100,80,13,22,3,0,1,28,10,24,18,19,1,1,16,1,0,0,0.275,0.420,0.350,0.770
2022,박민우,11137,11001,2B,289,248,42,68,12,1,3,91,22,81,67,27,6,4,35,4,5,3,0.274,0.356,0.367,0.723
2022,정훈,10253,3001,1B,129,110,20,30,2,0,1,35,10,26,35,15,2,0,20,0,1,1,0.273,0.367,0.318,0.685
2022,배정대,11212,12001,CF,61,48,7,13,3,1,0,18,4,11,11,10,0,0,14,0,2,1,0.271,0.390,0.375,0.765
2022,터크먼,15012,7002,RF,416,370,60,100,20,4,9,155,31,93,111,41,5,3,66,8,0,0,0.270,0.351,0.419,0.770
2022,김지찬,14618,1001,2B,260,221,39,59,6,3,0,71,19,70,53,28,0,0,40,0,10,1,0.267,0.348,0.321,0.669
2022,이창진,11233,2002,LF,23,19,2,5,2,0,0,7,3,4,8,2,0,0,3,1,1,1,0.263,0.318,0.368,0.686
