year,name,p_no,code,pos,PA,AB,R,H,2B,3B,HR,TB,RBI,GO,FO,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS
2022,추신수,14888,9002,RF,486,398,75,103,19,1,16,172,57,97,104,69,13,1,98,6,2,4,0.259,0.382,0.432,0.814
2022,최지훈,14587,9002,CF,101,94,9,24,5,0,0,29,8,29,26,5,2,0,15,0,0,0,0.255,0.307,0.309,0.616
2022,박승욱,10804,3001,SS,17,16,2,4,1,0,0,5,2,4,2,0,0,0,6,0,1,0,0.250,0.250,0.313,0.563
2022,박해민,11190,5002,CF,286,257,48,64,8,5,1,85,21,80,75,21,5,0,41,1,0,3,0.249,0.315,0.331,0.646
2022,정은원,13137,7002,2B,205,183,22,43,5,1,3,59,10,55,43,22,0,0,42,2,0,0,0.235,0.317,0.322,0.639
2022,김민혁,11339,12001,LF,82,74,9,17,3,0,0,20,6,27,17,7,0,0,14,0,0,1,0.230,0.293,0.270,0.563
2022,박주홍,14580,10001,LF,10,9,0,2,0,0,0,2,0,4,0,1,0,0,3,0,0,0,0.222,0.300,0.222,0.522
2022,김상수,10320,1001,SS,111,99,10,22,4,0,0,26,11,33,30,10,0,0,15,3,1,1,0.222,0.291,0.263,0.554
2022,이성곤,11206,7002,1B,10,9,1,2,0,0,0,2,1,1,5,0,0,0,2,0,0,1,0.222,0.200,0.222,0.422
2022,강승호,11087,6002,2B,11,9,0,2,1,0,0,3,2,3,2,2,0,0,2,0,0,0,0.222,0.364,0.333,0.697
2022,오태곤,10249,9002,LF,12,10,1,2,0,0,0,2,2,2,3,1,0,0,4,0,0,1,0.200,0.250,0.200,0.450
2022,김준완,11182,10001,LF,358,287,37,56,10,2,0,70,25,100,70,57,7,0,63,3,5,2,0.195,0.340,0.244,0.584
2022,이용규,10035,10001,LF,191,163,22,30,3,0,0,33,12,74,41,23,2,0,20,3,1,2,0.184,0.289,0.202,0.491
2022,노수광,11268,7002,LF,22,22,1,4,1,0,0,5,1,5,3,0,0,0,10,0,0,0,0.182,0.182,0.227,0.409
2022,김기환,11400,11001,RF,30,27,3,4,1,0,0,5,1,10,8,1,0,0,6,0,1,1,0.148,0.172,0.185,0.357
2022,홍현빈,12941,12001,RF,10,7,0,1,0,0,0,1,0,3,0,3,0,0,3,0,0,0,0.143,0.400,0.143,0.543
2022,송민섭,11342,12001,RF,24,21,4,3,0,0,0,3,0,7,3,3,0,0,8,0,0,0,0.143,0.250,0.143,0.393
2022,조수행,12524,6002,LF,10,9,0,1,0,0,0,1,1,3,2,1,0,0,3,1,0,0,0.111,0.200,0.111,0.311
2022,김도영,15056,2002,3B,39,37,1,4,0,0,0,4,1,7,14,2,0,0,12,0,0,0,0.108,0.154,0.108,0.262
2022,서호철,14220,11001,2B,12,11,0,1,0,0,0,1,2,9,0,1,0,0,1,1,0,0,0.091,0.167,0.091,0.258
2022,피렐라,14757,1001,LF,15,13,0,1,0,0,0,1,1,6,4,2,0,1,2,0,0,0,0.077,0.200,0.077,0.277
2022,소크라테스,14996,2002,CF,20,18,1,1,0,1,0,3,3,4,8,2,0,0,5,0,0,0,0.056,0.150,0.167,0.317
2022,김웅빈,12503,10001,1B,10,7,1,0,0,0,0,0,1,2,2,2,1,0,3,0,0,0,0.000,0.300,0.000,0.300
2022,박준태,11260,10001,CF,16,12,0,0,0,0,0,0,0,4,2,3,0,0,6,0,1,0,0.000,0.200,0.000,0.200
