season,slot,team,teamId,plateAppearances,atBats,runs,hits,doubles,triples,homeRuns,baseOnBalls,intentionalWalks,hitByPitch,strikeOuts,sacBunts,sacFlies,stolenBases,caughtStealing,totalBases,rbi,avg,obp,slg,ops,babip
2011,5,Florida Marlins,146,695,631,,162,38,3,27,59,7,4,134,0,1,,,287,88,.257,.324,.455,.779,.287
2011,5,Cincinnati Reds,113,702,626,,159,26,5,36,62,10,9,152,0,5,,,303,112,.254,.328,.484,.812,.278
2011,5,Baltimore Orioles,110,682,616,,155,34,1,30,57,2,7,132,0,2,,,281,95,.252,.321,.456,.777,.274
2011,5,Washington Nationals,120,678,602,,151,31,0,27,59,3,10,176,3,4,,,263,84,.251,.326,.437,.763,.308
2011,5,Minnesota Twins,142,669,603,,151,21,1,19,57,3,3,133,0,6,,,231,74,.250,.315,.383,.698,.289
2011,5,Arizona Diamondbacks,109,675,608,,152,35,3,21,50,3,5,143,4,8,,,256,95,.250,.308,.421,.729,.290
2011,5,Toronto Blue Jays,141,694,631,,157,38,1,17,55,2,3,133,0,5,,,248,76,.249,.310,.393,.703,.288
2011,5,Chicago White Sox,145,691,623,,153,33,2,18,52,2,11,133,0,5,,,244,70,.246,.313,.392,.705,.283
2011,5,Los Angeles Angels,108,678,625,,152,36,1,9,46,6,6,107,1,0,,,217,51,.243,.301,.347,.648,.281
2011,5,San Francisco Giants,137,681,612,,148,34,2,19,60,6,7,136,0,2,,,243,63,.242,.316,.397,.713,.281
2011,5,Oakland Athletics,133,676,613,,146,39,5,12,52,4,3,134,4,4,,,231,68,.238,.299,.377,.676,.285
2011,5,Seattle Mariners,136,665,602,,140,30,2,18,50,5,5,138,4,4,,,228,73,.233,.295,.379,.674,.271
2011,5,Atlanta Braves,144,686,617,,143,31,0,22,57,3,7,146,1,3,,,240,67,.232,.303,.389,.692,.268
2011,5,Milwaukee Brewers,158,685,623,,139,31,1,14,51,4,4,121,1,6,,,214,72,.223,.284,.343,.627,.253
2011,5,Pittsburgh Pirates,134,679,610,,134,30,3,9,55,1,3,149,2,8,,,197,66,.220,.284,.323,.607,.272
2011,6,Detroit Tigers,116,672,603,,180,37,3,23,53,4,7,128,1,8,,,292,95,.299,.358,.484,.842,.341
2011,6,New York Mets,121,686,614,,178,45,6,18,54,8,4,115,4,10,,,289,101,.290,.346,.471,.817,.326
2011,6,Kansas City Royals,118,684,625,,178,38,9,11,47,5,0,116,6,6,,,267,75,.285,.332,.427,.759,.331
2011,6,St. Louis Cardinals,138,679,621,,176,29,4,17,47,3,5,112,5,1,,,264,92,.283,.338,.425,.763,.323
2011,6,Los Angeles Angels,108,661,616,,174,31,5,20,39,4,4,86,0,2,,,275,80,.282,.328,.446,.774,.301
2011,6,Texas Rangers,140,675,606,,169,35,2,42,63,5,2,138,0,4,,,334,114,.279,.347,.551,.898,.295
2011,6,Minnesota Twins,142,658,606,,169,40,1,19,49,4,2,126,1,0,,,268,82,.279,.335,.442,.777,.325
2011,6,Florida Marlins,146,675,594,,160,30,4,32,65,1,7,161,2,7,,,294,93,.269,.345,.495,.840,.314
2011,6,Pittsburgh Pirates,134,661,594,,159,33,2,20,59,4,3,141,1,4,,,256,76,.268,.335,.431,.766,.318
2011,6,San Diego Padres,135,656,591,,157,32,10,16,51,6,3,148,6,5,,,257,79,.266,.325,.435,.760,.326
2011,6,Philadelphia Phillies,143,683,611,,162,39,0,20,59,3,8,109,0,5,,,261,80,.265,.335,.427,.762,.292
2011,6,Baltimore Orioles,110,671,616,,161,29,2,26,49,2,2,170,0,4,,,272,72,.261,.316,.442,.758,.318
2011,6,Washington Nationals,120,656,585,,152,30,2,22,52,5,10,158,8,1,,,252,63,.260,.330,.431,.761,.320
2011,6,Chicago Cubs,112,669,612,,157,28,6,24,45,1,8,125,1,3,,,269,81,.257,.314,.440,.754,.285
2011,6,Colorado Rockies,115,674,618,,158,28,5,22,47,5,6,125,3,0,,,262,63,.256,.314,.424,.738,.289
2011,6,Tampa Bay Rays,139,669,604,,154,34,3,18,54,5,7,127,2,2,,,248,75,.255,.322,.411,.733,.295
2011,6,San Francisco Giants,137,655,587,,146,28,1,20,54,3,8,130,1,5,,,236,71,.249,.318,.402,.720,.285
2011,6,Arizona Diamondbacks,109,661,578,,142,35,0,21,73,6,6,130,1,3,,,240,92,.246,.335,.415,.750,.281
2011,6,Cleveland Indians,114,668,615,,151,29,0,16,37,6,10,126,2,4,,,228,76,.246,.297,.371,.668,.283
2011,6,Boston Red Sox,111,695,629,,154,34,6,16,51,4,3,141,3,9,,,248,73,.245,.301,.394,.695,.287
2011,6,Los Angeles Dodgers,119,656,588,,142,22,1,10,51,5,6,105,4,7,,,196,62,.241,.305,.333,.638,.275
2011,6,Milwaukee Brewers,158,664,622,,149,34,2,12,34,3,3,100,0,5,,,223,59,.240,.280,.359,.639,.266
2011,6,Cincinnati Reds,113,686,611,,144,30,1,16,54,4,11,153,4,6,,,224,66,.236,.306,.367,.673,.286
2011,6,Atlanta Braves,144,667,614,,142,25,2,27,48,3,2,154,0,2,,,252,76,.231,.288,.410,.698,.264
2011,6,New York Yankees,147,687,576,,131,25,0,22,95,6,8,135,0,8,,,222,85,.227,.341,.385,.726,.255
2011,6,Houston Astros,117,669,612,,139,34,2,8,41,2,4,154,4,8,,,201,60,.227,.277,.328,.605,.286
2011,6,Toronto Blue Jays,141,677,618,,139,29,5,20,44,2,6,144,2,7,,,238,69,.225,.280,.385,.665,.258
2011,6,Oakland Athletics,133,661,588,,132,29,3,9,63,1,7,122,1,2,,,194,53,.224,.306,.330,.636,.268
2011,6,Chicago White Sox,145,669,614,,135,30,0,14,47,4,4,104,1,3,,,207,55,.220,.278,.337,.615,.242
2011,6,Seattle Mariners,136,652,598,,129,31,2,18,41,2,5,174,4,4,,,218,62,.216,.270,.365,.635,.271
2011,7,Texas Rangers,140,661,615,,175,27,1,27,40,5,3,109,0,3,,,285,78,.285,.330,.463,.793,.307
2011,7,St. Louis Cardinals,138,664,604,,167,39,3,14,44,4,1,76,9,6,,,254,84,.276,.324,.421,.745,.294
2011,7,New York Mets,121,670,601,,166,28,5,13,55,4,6,115,1,7,,,243,88,.276,.339,.404,.743,.319
2011,7,Houston Astros,117,654,606,,166,41,4,14,38,3,8,128,2,0,,,257,58,.274,.325,.424,.749,.328
