season,playerId,name,team,teamId,pa,ab,h,2b,3b,hr,bb,ibb,hbp,so,sf,sac,tb,avg,obp,slg,ops
2023,650333,Luis Arraez,Miami Marlins,146,617,574,203,30,3,10,35,10,4,34,3,1,269,.354,.393,.469,.862
2023,660670,Ronald Acuña Jr.,Atlanta Braves,144,735,643,217,35,4,41,80,3,9,84,3,0,383,.337,.416,.596,1.012
2023,518692,Freddie Freeman,Los Angeles Dodgers,119,730,637,211,59,2,29,72,12,16,121,5,0,361,.331,.410,.567,.977
2023,650490,Yandy Díaz,Tampa Bay Rays,139,600,525,173,35,0,22,65,0,8,94,2,0,274,.330,.410,.522,.932
2023,608369,Corey Seager,Texas Rangers,140,536,477,156,42,0,33,49,9,4,88,6,0,297,.327,.390,.623,1.013
2023,641355,Cody Bellinger,Chicago Cubs,112,556,499,153,29,1,26,40,3,5,87,12,0,262,.307,.356,.525,.881
2023,605141,Mookie Betts,Los Angeles Dodgers,119,693,584,179,40,1,39,96,3,8,107,5,0,338,.307,.408,.579,.987
2023,666182,Bo Bichette,Toronto Blue Jays,141,601,571,175,30,3,20,27,0,2,115,1,0,271,.306,.339,.475,.814
2023,660271,Shohei Ohtani,Los Angeles Angels,108,599,497,151,26,8,44,91,21,3,143,3,0,325,.304,.412,.654,1.066
2023,547180,Bryce Harper,Philadelphia Phillies,143,546,457,134,29,1,21,80,8,5,119,4,0,228,.293,.401,.499,.900
2023,671739,Michael Harris II,Atlanta Braves,144,539,505,148,33,3,18,25,1,5,101,3,1,241,.293,.331,.477,.808
2023,661388,William Contreras,Milwaukee Brewers,158,611,540,156,38,1,17,63,2,5,126,2,1,247,.289,.367,.457,.824
2023,807799,Masataka Yoshida,Boston Red Sox,111,580,537,155,33,3,15,34,0,7,81,2,0,239,.289,.338,.445,.783
2023,673548,Seiya Suzuki,Chicago Cubs,112,583,515,147,31,6,20,59,3,2,130,7,0,250,.285,.357,.485,.842
2023,593428,Xander Bogaerts,San Diego Padres,135,665,596,170,31,2,19,56,0,7,110,6,0,262,.285,.350,.440,.790
2023,682998,Corbin Carroll,Arizona Diamondbacks,109,645,565,161,30,10,25,57,1,13,125,4,6,286,.285,.362,.506,.868
2023,663656,Kyle Tucker,Houston Astros,117,674,574,163,37,5,29,80,9,3,92,10,0,297,.284,.369,.517,.886
2023,621566,Matt Olson,Atlanta Braves,144,720,608,172,27,3,54,104,8,4,167,4,0,367,.283,.389,.604,.993
2023,663538,Nico Hoerner,Chicago Cubs,112,688,619,175,27,4,9,49,0,14,83,5,1,237,.283,.346,.383,.729
2023,608070,José Ramírez,Cleveland Guardians,114,691,611,172,36,5,24,73,22,1,73,6,0,290,.282,.356,.475,.831
2023,663586,Austin Riley,Atlanta Braves,144,715,636,179,32,3,37,59,4,9,172,11,0,328,.281,.345,.516,.861
2023,681082,Bryson Stott,Philadelphia Phillies,143,640,585,164,32,2,15,39,1,7,100,8,1,245,.280,.329,.419,.748
2023,645277,Ozzie Albies,Atlanta Braves,144,660,596,167,30,5,33,46,2,8,107,8,0,306,.280,.336,.513,.849
2023,670770,TJ Friedl,Cincinnati Reds,113,556,488,136,22,8,18,47,1,10,90,3,8,228,.279,.352,.467,.819
2023,592885,Christian Yelich,Milwaukee Brewers,158,632,550,153,34,1,19,78,7,3,140,1,0,246,.278,.370,.447,.817
2023,668939,Adley Rutschman,Baltimore Orioles,110,687,588,163,31,1,20,92,6,2,101,5,0,256,.277,.374,.435,.809
2023,677951,Bobby Witt Jr.,Kansas City Royals,118,694,641,177,28,11,30,40,1,4,121,8,1,317,.276,.319,.495,.814
2023,543760,Marcus Semien,Texas Rangers,140,753,670,185,40,4,29,72,1,5,110,5,0,320,.276,.348,.478,.826
2023,457759,Justin Turner,Boston Red Sox,111,626,558,154,31,0,23,51,0,11,110,6,0,254,.276,.345,.455,.800
2023,606466,Ketel Marte,Arizona Diamondbacks,109,650,569,157,26,9,25,71,2,5,109,5,0,276,.276,.358,.485,.843
2023,677594,Julio Rodríguez,Seattle Mariners,136,714,654,180,37,2,32,47,6,11,175,2,0,317,.275,.333,.485,.818
2023,669720,Austin Hays,Baltimore Orioles,110,566,520,143,36,2,16,38,1,3,141,5,0,231,.275,.325,.444,.769
2023,608841,Joey Meneses,Washington Nationals,120,657,611,168,36,1,13,38,0,5,130,3,0,245,.275,.321,.401,.722
2023,665742,Juan Soto,San Diego Padres,135,708,568,156,32,1,35,132,11,2,129,5,1,295,.275,.410,.519,.929
2023,664761,Alec Bohm,Philadelphia Phillies,143,611,558,153,31,0,20,42,1,5,94,6,0,244,.274,.327,.437,.764
2023,607043,Brandon Nimmo,New York Mets,121,682,592,162,30,6,24,74,0,11,146,4,1,276,.274,.363,.466,.829
2023,542303,Marcell Ozuna,Atlanta Braves,144,592,530,145,29,1,40,57,1,3,134,2,0,296,.274,.346,.558,.904
2023,650402,Gleyber Torres,New York Yankees,147,672,596,163,28,2,25,67,0,3,98,6,0,270,.273,.347,.453,.800
2023,593160,Whit Merrifield,Toronto Blue Jays,141,592,547,149,27,0,11,36,2,3,101,6,0,209,.272,.318,.382,.700
2023,592206,Nick Castellanos,Philadelphia Phillies,143,671,626,170,37,2,29,36,0,3,185,6,0,298,.272,.311,.476,.787
2023,672580,Maikel Garcia,Kansas City Royals,118,515,464,126,20,4,4,38,0,2,115,10,1,166,.272,.323,.358,.681
2023,668715,Spencer Steer,Cincinnati Reds,113,665,582,158,37,3,23,68,0,11,139,4,0,270,.271,.356,.464,.820
2023,663647,Ke'Bryan Hayes,Pittsburgh Pirates,134,525,494,134,31,7,15,28,1,0,104,3,0,224,.271,.309,.453,.762
2023,642731,Thairo Estrada,San Francisco Giants,137,530,495,134,26,2,14,22,1,11,120,2,0,206,.271,.315,.416,.731
2023,646240,Rafael Devers,Boston Red Sox,111,656,580,157,34,0,33,62,10,11,126,3,0,290,.271,.351,.500,.851
2023,643446,Jeff McNeil,New York Mets,121,648,585,158,25,4,10,39,0,18,65,3,3,221,.270,.333,.378,.711
2023,502671,Paul Goldschmidt,St. Louis Cardinals,138,687,593,159,31,0,25,87,6,3,161,3,0,265,.268,.363,.447,.810
2023,680757,Steven Kwan,Cleveland Guardians,114,718,638,171,36,7,5,70,2,3,75,6,1,236,.268,.340,.370,.710
2023,657041,Lane Thomas,Washington Nationals,120,682,628,168,36,3,28,36,0,11,176,7,0,294,.268,.315,.468,.783
2023,553869,Elias Díaz,Colorado Rockies,115,526,486,130,25,1,14,34,0,2,118,4,0,199,.267,.316,.409,.725
2023,665750,Leody Taveras,Texas Rangers,140,554,511,136,31,3,14,35,0,1,117,4,3,215,.266,.312,.421,.733
2023,571448,Nolan Arenado,St. Louis Cardinals,138,612,560,149,26,2,26,41,5,3,101,8,0,257,.266,.315,.459,.774
2023,607208,Trea Turner,Philadelphia Phillies,143,691,639,170,35,5,26,45,2,6,150,1,0,293,.266,.320,.459,.779
2023,641487,J.P. Crawford,Seattle Mariners,136,638,534,142,35,0,19,94,1,5,125,2,3,234,.266,.380,.438,.818
2023,673962,Josh Jung,Texas Rangers,140,515,478,127,25,1,23,30,0,5,151,2,0,223,.266,.315,.467,.782
2023,606115,Orlando Arcia,Atlanta Braves,144,533,488,129,25,0,17,39,0,3,102,3,0,205,.264,.321,.420,.741
2023,665489,Vladimir Guerrero Jr.,Toronto Blue Jays,141,682,602,159,30,0,26,67,5,9,100,4,0,267,.264,.345,.444,.789
2023,673357,Luis Robert Jr.,Chicago White Sox,145,595,546,144,36,1,38,30,5,12,172,2,0,296,.264,.315,.542,.857
2023,657077,Alex Verdugo,Boston Red Sox,111,602,546,144,37,5,13,45,1,6,93,5,0,230,.264,.324,.421,.745
2023,665161,Jeremy Peña,Houston Astros,117,634,577,152,32,3,10,43,1,9,129,1,1,220,.263,.324,.381,.705
2023,671213,Triston Casas,Boston Red Sox,111,502,429,113,21,2,24,70,2,1,126,2,0,210,.263,.367,.490,.857
2023,668804,Bryan Reynolds,Pittsburgh Pirates,134,640,574,151,31,5,24,53,2,7,138,6,0,264,.263,.330,.460,.790
2023,642708,Amed Rosario,Los Angeles Dodgers,119,545,510,134,25,8,6,29,0,3,99,3,0,193,.263,.305,.378,.683
