season,playerId,name,team,teamId,pa,ab,h,2b,3b,hr,bb,ibb,hbp,so,sf,sac,tb,avg,obp,slg,ops
2021,607208,Trea Turner,Los Angeles Dodgers,119,646,595,195,34,3,28,41,2,6,110,4,0,319,.328,.375,.536,.911
2021,493329,Yuli Gurriel,Houston Astros,117,605,530,169,31,0,15,59,2,4,68,12,0,245,.319,.383,.462,.845
2021,665742,Juan Soto,Washington Nationals,120,654,502,157,20,2,29,145,23,2,93,5,0,268,.313,.465,.534,.999
2021,488726,Michael Brantley,Houston Astros,117,508,469,146,29,3,8,33,1,5,53,1,0,205,.311,.362,.437,.799
2021,665489,Vladimir Guerrero Jr.,Toronto Blue Jays,141,698,604,188,29,1,48,86,7,6,110,2,0,363,.311,.401,.601,1.002
2021,516782,Starling Marte,Oakland Athletics,133,526,467,145,27,3,12,43,2,13,99,2,1,214,.310,.383,.458,.841
2021,547180,Bryce Harper,Philadelphia Phillies,143,599,488,151,42,1,35,100,14,5,134,4,2,300,.309,.429,.615,1.044
2021,641313,Tim Anderson,Chicago White Sox,145,551,527,163,29,2,17,22,1,1,119,1,0,247,.309,.338,.469,.807
2021,592206,Nick Castellanos,Cincinnati Reds,113,585,531,164,38,1,34,41,5,7,121,6,0,306,.309,.362,.576,.938
2021,624428,Adam Frazier,San Diego Padres,135,639,577,176,36,5,5,48,2,10,69,1,3,237,.305,.368,.411,.779
2021,663586,Austin Riley,Atlanta Braves,144,662,590,179,33,1,33,52,2,12,168,8,0,313,.303,.367,.531,.898
2021,668804,Bryan Reynolds,Pittsburgh Pirates,134,646,559,169,35,8,24,75,9,8,119,4,0,292,.302,.390,.522,.912
2021,518692,Freddie Freeman,Atlanta Braves,144,695,600,180,25,2,31,85,15,8,107,2,0,302,.300,.393,.503,.896
2021,670032,Nicky Lopez,Kansas City Royals,118,565,497,149,21,6,2,49,0,4,74,3,12,188,.300,.365,.378,.743
2021,666182,Bo Bichette,Toronto Blue Jays,141,690,640,191,30,1,29,40,0,6,137,4,0,310,.298,.343,.484,.827
2021,543063,Brandon Crawford,San Francisco Giants,137,549,483,144,30,3,24,56,6,5,105,5,0,252,.298,.373,.522,.895
2021,606192,Teoscar Hernández,Toronto Blue Jays,141,595,550,163,29,0,32,36,1,7,148,2,0,288,.296,.346,.524,.870
2021,593428,Xander Bogaerts,Boston Red Sox,111,603,529,156,34,1,23,62,2,5,113,7,0,261,.295,.370,.493,.863
2021,663656,Kyle Tucker,Houston Astros,117,567,506,149,37,3,30,53,5,1,90,5,0,282,.294,.359,.557,.916
2021,502671,Paul Goldschmidt,St. Louis Cardinals,138,679,603,177,36,2,31,67,2,4,136,5,0,310,.294,.365,.514,.879
2021,664034,Ty France,Seattle Mariners,136,650,571,166,32,1,18,46,1,27,106,6,0,254,.291,.368,.445,.813
