season,playerId,name,team,teamId,pa,ab,h,2b,3b,hr,bb,ibb,hbp,so,sf,sac,tb,avg,obp,slg,ops
2022,570482,Gio Urshela,Minnesota Twins,142,551,501,143,27,3,13,41,2,2,96,7,0,215,.285,.338,.429,.767
2022,672386,Alejandro Kirk,Toronto Blue Jays,141,541,470,134,19,0,14,63,2,4,58,4,0,195,.285,.372,.415,.787
2022,677594,Julio Rodríguez,Seattle Mariners,136,560,511,145,25,3,28,40,4,8,145,1,0,260,.284,.345,.509,.854
2022,642708,Amed Rosario,Cleveland Guardians,114,670,637,180,26,9,11,25,0,4,111,4,0,257,.283,.312,.403,.715
2022,621493,Taylor Ward,Los Angeles Angels,108,564,495,139,22,2,23,60,0,4,120,5,0,234,.281,.360,.473,.833
2022,663538,Nico Hoerner,Chicago Cubs,112,517,481,135,22,5,10,28,4,6,57,2,0,197,.281,.327,.410,.737
2022,657077,Alex Verdugo,Boston Red Sox,111,644,593,166,39,1,11,42,2,3,86,6,0,240,.280,.328,.405,.733
2022,664761,Alec Bohm,Philadelphia Phillies,143,631,586,164,24,3,13,31,1,4,110,10,0,233,.280,.315,.398,.713
2022,608070,José Ramírez,Cleveland Guardians,114,685,601,168,44,5,29,69,20,6,82,9,0,309,.280,.355,.514,.869
2022,457759,Justin Turner,Los Angeles Dodgers,119,532,468,130,36,0,13,50,1,6,89,8,0,205,.278,.350,.438,.788
2022,621020,Dansby Swanson,Atlanta Braves,144,696,640,177,32,1,25,49,0,3,182,4,0,286,.277,.329,.447,.776
2022,592663,J.T. Realmuto,Philadelphia Phillies,143,562,504,139,26,5,22,41,1,12,119,5,0,241,.276,.342,.478,.820
2022,665489,Vladimir Guerrero Jr.,Toronto Blue Jays,141,706,638,175,35,0,32,58,6,6,116,4,0,306,.274,.339,.480,.819
2022,607043,Brandon Nimmo,New York Mets,121,673,580,159,30,7,16,71,0,16,116,3,3,251,.274,.367,.433,.800
2022,664034,Ty France,Seattle Mariners,136,613,551,151,27,1,20,35,3,21,94,5,0,240,.274,.338,.436,.774
2022,502110,J.D. Martinez,Boston Red Sox,111,596,533,146,43,1,16,52,1,5,145,5,0,239,.274,.341,.448,.789
2022,663586,Austin Riley,Atlanta Braves,144,693,615,168,39,2,38,57,1,17,168,4,0,325,.273,.349,.528,.877
2022,660271,Shohei Ohtani,Los Angeles Angels,108,666,586,160,30,6,34,72,14,5,161,3,0,304,.273,.356,.519,.875
2022,624413,Pete Alonso,New York Mets,121,685,597,162,27,0,40,67,16,12,128,9,0,309,.271,.352,.518,.870
2022,683734,Andrew Vaughn,Chicago White Sox,145,555,510,138,28,1,17,31,0,9,96,5,0,219,.271,.321,.429,.750
2022,664023,Ian Happ,Chicago Cubs,112,641,573,155,42,2,17,58,4,6,149,4,0,252,.271,.342,.440,.782
2022,596019,Francisco Lindor,New York Mets,121,706,630,170,25,5,26,59,2,10,133,7,0,283,.270,.339,.449,.788
2022,605141,Mookie Betts,Los Angeles Dodgers,119,639,572,154,40,3,35,55,0,8,104,4,0,305,.269,.340,.533,.873
2022,668942,Josh Rojas,Arizona Diamondbacks,109,510,443,119,25,1,9,55,2,2,98,5,5,173,.269,.349,.391,.740
2022,543807,George Springer,Toronto Blue Jays,141,583,513,137,22,4,25,54,1,7,100,5,0,242,.267,.342,.472,.814
2022,606192,Teoscar Hernández,Toronto Blue Jays,141,535,499,133,35,1,25,34,0,2,152,0,0,245,.267,.316,.491,.807
2022,605137,Josh Bell,San Diego Padres,135,647,552,147,29,3,17,81,4,5,102,6,0,233,.266,.362,.422,.784
2022,592192,Mark Canha,New York Mets,121,542,462,123,24,0,13,48,1,28,97,4,0,186,.266,.367,.403,.770
2022,663898,Brendan Rodgers,Colorado Rockies,115,581,527,140,30,3,13,46,0,3,101,5,0,215,.266,.325,.408,.733
2022,660670,Ronald Acuña Jr.,Atlanta Braves,144,533,467,124,24,0,15,53,4,10,126,3,0,193,.266,.351,.413,.764
2022,669242,Tommy Edman,St. Louis Cardinals,138,630,577,153,31,4,13,46,2,5,111,1,1,231,.265,.324,.400,.724
2022,453568,Charlie Blackmon,Colorado Rockies,115,577,530,140,22,6,16,32,4,8,109,3,4,222,.264,.314,.419,.733
2022,650859,Luis Rengifo,Los Angeles Angels,108,511,489,129,22,4,17,17,0,4,79,0,1,210,.264,.294,.429,.723
2022,592206,Nick Castellanos,Philadelphia Phillies,143,558,524,138,27,0,13,29,0,3,130,2,0,204,.263,.305,.389,.694
2022,668227,Randy Arozarena,Tampa Bay Rays,139,645,586,154,41,3,20,46,2,11,156,2,0,261,.263,.327,.445,.772
2022,592273,Brandon Drury,San Diego Padres,135,568,518,136,31,2,28,38,0,8,126,4,0,255,.263,.320,.492,.812
2022,668804,Bryan Reynolds,Pittsburgh Pirates,134,614,542,142,19,4,27,56,6,14,141,2,0,250,.262,.345,.461,.806
2022,518934,DJ LeMahieu,New York Yankees,147,541,467,122,18,0,12,67,0,4,71,2,1,176,.261,.357,.377,.734
2022,643396,Isiah Kiner-Falefa,New York Yankees,147,531,483,126,20,0,4,35,2,5,72,5,3,158,.261,.314,.327,.641
2022,642731,Thairo Estrada,San Francisco Giants,137,541,488,127,22,2,14,33,0,14,89,5,1,195,.260,.322,.400,.722
2022,669257,Will Smith,Los Angeles Dodgers,119,578,508,132,26,3,24,56,4,10,96,4,0,236,.260,.343,.465,.808
2022,608324,Alex Bregman,Houston Astros,117,656,548,142,38,0,23,87,1,11,77,10,0,249,.259,.366,.454,.820
2022,545341,Randal Grichuk,Colorado Rockies,115,538,506,131,21,3,19,24,0,6,127,2,0,215,.259,.299,.425,.724
2022,656775,Cedric Mullins,Baltimore Orioles,110,672,608,157,32,4,16,47,2,9,126,5,1,245,.258,.318,.403,.721
2022,543068,C.J. Cron,Colorado Rockies,115,632,575,148,28,3,29,43,6,8,164,5,0,269,.257,.315,.468,.783
2022,663656,Kyle Tucker,Houston Astros,117,609,544,140,28,1,30,59,4,1,95,2,0,260,.257,.330,.478,.808
2022,650402,Gleyber Torres,New York Yankees,147,572,526,135,28,1,24,39,2,3,129,3,1,237,.257,.310,.451,.761
2022,592669,Hunter Renfroe,Milwaukee Brewers,158,522,474,121,23,1,29,39,1,4,121,3,2,233,.255,.315,.492,.807
2022,571657,Kyle Farmer,Cincinnati Reds,113,583,526,134,25,1,14,33,0,16,99,6,2,203,.255,.315,.386,.701
2022,677951,Bobby Witt Jr.,Kansas City Royals,118,632,591,150,31,6,20,30,2,6,135,5,0,253,.254,.294,.428,.722
2022,665161,Jeremy Peña,Houston Astros,117,558,521,132,20,2,22,22,0,6,135,5,1,222,.253,.289,.426,.715
2022,592885,Christian Yelich,Milwaukee Brewers,158,671,575,145,25,4,14,88,5,5,162,2,1,220,.252,.355,.383,.738
2022,673490,Ha-Seong Kim,San Diego Padres,135,582,517,130,29,3,11,51,0,7,100,4,3,198,.251,.325,.383,.708
2022,669720,Austin Hays,Baltimore Orioles,110,582,535,134,35,2,16,34,0,10,114,3,0,221,.250,.306,.413,.719
2022,663624,Ryan Mountcastle,Baltimore Orioles,110,609,555,139,28,1,22,43,1,4,154,7,0,235,.250,.305,.423,.728
2022,593160,Whit Merrifield,Toronto Blue Jays,141,550,504,126,28,1,11,38,0,0,85,8,0,189,.250,.298,.375,.673
2022,666969,Adolis García,Texas Rangers,140,657,605,151,34,5,27,40,2,6,183,6,0,276,.250,.300,.456,.756
2022,669221,Sean Murphy,Oakland Athletics,133,612,537,134,37,2,18,56,2,13,124,5,0,229,.250,.332,.426,.758
2022,462101,Elvis Andrus,Chicago White Sox,145,577,535,133,32,0,17,39,0,3,92,0,0,216,.249,.303,.404,.707
2022,514917,César Hernández,Washington Nationals,120,617,560,139,28,4,1,45,0,7,114,2,3,178,.248,.311,.318,.629
2022,543760,Marcus Semien,Texas Rangers,140,724,657,163,31,5,26,53,0,4,120,10,0,282,.248,.304,.429,.733
2022,656555,Rhys Hoskins,Philadelphia Phillies,143,672,589,145,33,2,30,72,0,6,169,4,0,272,.246,.332,.462,.794
2022,641857,Ryan McMahon,Colorado Rockies,115,597,529,130,23,3,20,60,0,5,158,3,0,219,.246,.327,.414,.741
2022,572041,AJ Pollock,Chicago White Sox,145,527,489,120,26,1,14,32,0,2,98,4,0,190,.245,.292,.389,.681
2022,608369,Corey Seager,Texas Rangers,140,663,593,145,24,1,33,58,7,7,103,5,0,270,.245,.317,.455,.772
2022,663647,Ke'Bryan Hayes,Pittsburgh Pirates,134,560,505,123,24,3,7,48,0,5,122,2,0,174,.244,.314,.345,.659
2022,595777,Jurickson Profar,San Diego Padres,135,658,575,140,36,2,15,73,0,4,103,3,3,225,.243,.331,.391,.722
2022,641487,J.P. Crawford,Seattle Mariners,136,603,518,126,24,3,6,68,0,10,80,5,2,174,.243,.339,.336,.675
2022,665742,Juan Soto,San Diego Padres,135,664,524,127,25,2,27,135,6,4,96,0,0,237,.242,.401,.452,.853
2022,493329,Yuli Gurriel,Houston Astros,117,584,545,132,40,0,8,30,0,6,73,3,0,196,.242,.288,.360,.648
2022,572233,Christian Walker,Arizona Diamondbacks,109,667,583,141,25,2,36,69,2,8,131,7,0,278,.242,.327,.477,.804
2022,657041,Lane Thomas,Washington Nationals,120,548,498,120,26,2,17,41,0,4,132,5,0,201,.241,.301,.404,.705
2022,623993,Anthony Santander,Baltimore Orioles,110,647,574,138,24,0,33,55,1,13,122,5,0,261,.240,.318,.455,.773
2022,500871,Eduardo Escobar,New York Mets,121,542,495,119,26,4,20,40,3,1,129,6,0,213,.240,.295,.430,.725
2022,621566,Matt Olson,Atlanta Braves,144,699,616,148,44,0,34,75,6,4,170,4,0,294,.240,.325,.477,.802
2022,606466,Ketel Marte,Arizona Diamondbacks,109,558,492,118,42,2,12,55,3,6,101,5,0,200,.240,.321,.407,.728
2022,641820,Trey Mancini,Houston Astros,117,587,519,124,23,1,18,53,2,10,135,5,0,203,.239,.319,.391,.710
2022,630105,Jake Cronenworth,San Diego Padres,135,684,587,140,30,4,17,70,3,16,131,8,0,229,.239,.332,.390,.722
2022,624428,Adam Frazier,Seattle Mariners,136,602,541,129,22,4,3,46,1,5,73,6,4,168,.238,.301,.311,.612
2022,642715,Willy Adames,Milwaukee Brewers,158,617,563,134,31,0,31,49,3,1,166,4,0,258,.238,.298,.458,.756
2022,595879,Javier Báez,Detroit Tigers,116,590,555,132,27,4,17,26,1,6,147,3,0,218,.238,.278,.393,.671
2022,457705,Andrew McCutchen,Milwaukee Brewers,158,580,515,122,25,0,17,57,1,4,124,4,0,198,.237,.316,.384,.700
2022,502054,Tommy Pham,Boston Red Sox,111,622,554,131,23,1,17,56,0,7,167,5,0,207,.236,.312,.374,.686
2022,553993,Eugenio Suárez,Seattle Mariners,136,629,543,128,24,2,31,73,0,8,196,5,0,249,.236,.332,.459,.791
2022,500743,Miguel Rojas,Miami Marlins,146,507,471,111,19,2,6,26,1,6,61,3,1,152,.236,.283,.323,.606
2022,643393,Tony Kemp,Oakland Athletics,133,558,497,117,24,2,7,45,0,8,69,3,5,166,.235,.307,.334,.641
2022,662139,Daulton Varsho,Arizona Diamondbacks,109,592,531,125,23,3,27,46,0,7,145,5,2,235,.235,.302,.443,.745
2022,542583,Jesús Aguilar,Baltimore Orioles,110,507,464,109,19,0,16,28,1,4,119,5,0,176,.235,.281,.379,.660
2022,443558,Nelson Cruz,Washington Nationals,120,507,448,105,16,0,10,49,1,4,119,3,0,151,.234,.313,.337,.650
2022,664913,Seth Brown,Oakland Athletics,133,555,500,115,26,3,25,51,3,3,146,1,0,222,.230,.305,.444,.749
2022,656305,Matt Chapman,Toronto Blue Jays,141,621,538,123,27,1,27,68,1,10,170,5,0,233,.229,.324,.433,.757
2022,527038,Wilmer Flores,San Francisco Giants,137,602,525,120,28,1,19,59,1,11,103,7,0,207,.229,.316,.394,.710
2022,572228,Luke Voit,Washington Nationals,120,568,500,113,22,0,22,55,1,7,179,6,0,201,.226,.308,.402,.710
2022,542303,Marcell Ozuna,Atlanta Braves,144,507,470,106,19,0,23,31,0,2,122,4,0,194,.226,.274,.413,.687
2022,519203,Anthony Rizzo,New York Yankees,147,548,465,104,21,1,32,58,6,23,101,2,0,223,.224,.338,.480,.818
2022,518626,Josh Donaldson,New York Yankees,147,546,478,106,28,0,15,54,1,8,148,6,0,179,.222,.308,.374,.682
2022,622761,Jorge Mateo,Baltimore Orioles,110,533,494,109,25,7,13,27,0,5,147,2,3,187,.221,.267,.379,.646
2022,664702,Myles Straw,Cleveland Guardians,114,596,535,118,22,3,0,54,0,1,87,4,2,146,.221,.291,.273,.564
2022,608385,Jesse Winker,Seattle Mariners,136,547,456,100,15,0,14,84,1,4,103,3,0,157,.219,.344,.344,.688
2022,642133,Rowdy Tellez,Milwaukee Brewers,158,599,529,116,23,0,35,62,9,5,121,3,0,244,.219,.306,.461,.767
2022,656941,Kyle Schwarber,Philadelphia Phillies,143,669,577,126,21,3,46,86,3,4,200,2,0,291,.218,.323,.504,.827
2022,669004,MJ Melendez,Kansas City Royals,118,534,460,100,21,3,18,66,1,1,131,7,0,181,.217,.313,.393,.706
2022,573262,Mike Yastrzemski,San Francisco Giants,137,558,485,104,31,2,17,61,0,5,141,6,1,190,.214,.305,.392,.697
2022,641355,Cody Bellinger,Los Angeles Dodgers,119,550,504,106,27,3,19,38,0,2,150,6,0,196,.210,.265,.389,.654
2022,621550,Patrick Wisdom,Chicago Cubs,112,534,469,97,28,0,25,53,1,9,183,2,1,200,.207,.298,.426,.724
2022,467793,Carlos Santana,Seattle Mariners,136,506,431,87,18,0,19,71,2,2,88,2,0,162,.202,.316,.376,.692
2022,570731,Jonathan Schoop,Detroit Tigers,116,510,481,97,23,1,11,19,1,6,107,4,0,155,.202,.239,.322,.561
2022,571970,Max Muncy,Los Angeles Dodgers,119,565,464,91,22,1,21,90,1,5,141,6,0,178,.196,.329,.384,.713
2022,663757,Trent Grisham,San Diego Padres,135,524,451,83,16,2,17,57,1,7,150,2,7,154,.184,.284,.341,.625
