season,playerId,name,team,teamId,pa,ab,h,2b,3b,hr,bb,ibb,hbp,so,sf,sac,tb,avg,obp,slg,ops
2022,643446,Jeff McNeil,New York Mets,121,589,533,174,39,1,9,40,1,11,61,5,0,242,.326,.382,.454,.836
2022,518692,Freddie Freeman,Los Angeles Dodgers,119,708,612,199,47,2,21,84,12,5,102,7,0,313,.325,.407,.511,.918
2022,502671,Paul Goldschmidt,St. Louis Cardinals,138,651,561,178,41,0,35,79,1,5,141,4,0,324,.317,.404,.578,.982
2022,650333,Luis Arraez,Minnesota Twins,142,603,547,173,31,1,8,50,2,3,43,3,0,230,.316,.375,.420,.795
2022,592450,Aaron Judge,New York Yankees,147,696,570,177,28,0,62,111,19,6,175,5,0,391,.311,.425,.686,1.111
2022,593428,Xander Bogaerts,Boston Red Sox,111,631,557,171,38,0,15,57,2,10,118,7,0,254,.307,.377,.456,.833
2022,670541,Yordan Alvarez,Houston Astros,117,561,470,144,29,2,37,78,9,6,106,7,0,288,.306,.406,.613,1.019
2022,547989,José Abreu,Chicago White Sox,145,679,601,183,40,0,15,62,2,12,110,4,0,268,.304,.378,.446,.824
2022,643217,Andrew Benintendi,New York Yankees,147,521,461,140,23,3,5,52,0,2,77,5,1,184,.304,.373,.399,.772
2022,663993,Nathaniel Lowe,Texas Rangers,140,645,593,179,26,3,27,48,2,4,147,0,0,292,.302,.358,.492,.850
2022,514888,Jose Altuve,Houston Astros,117,604,527,158,39,0,28,66,2,10,87,1,0,281,.300,.387,.533,.920
2022,680757,Steven Kwan,Cleveland Guardians,114,638,563,168,25,7,6,62,2,7,60,4,2,225,.298,.373,.400,.773
2022,592518,Manny Machado,San Diego Padres,135,644,578,172,37,1,32,63,10,1,133,2,0,307,.298,.366,.531,.897
2022,607208,Trea Turner,Los Angeles Dodgers,119,708,652,194,39,4,21,45,1,3,131,6,0,304,.298,.343,.466,.809
2022,665926,Andrés Giménez,Cleveland Guardians,114,557,491,146,26,3,17,34,4,25,112,3,4,229,.297,.371,.466,.837
2022,650490,Yandy Díaz,Tampa Bay Rays,139,558,473,140,33,0,9,78,2,6,60,1,0,200,.296,.401,.423,.824
2022,646240,Rafael Devers,Boston Red Sox,111,614,555,164,42,1,27,50,11,6,114,3,0,289,.295,.358,.521,.879
2022,571448,Nolan Arenado,St. Louis Cardinals,138,620,557,163,42,1,30,52,3,7,72,4,0,297,.293,.358,.533,.891
2022,516782,Starling Marte,New York Mets,121,505,466,136,24,5,16,26,0,13,97,0,0,218,.292,.347,.468,.815
2022,621043,Carlos Correa,Minnesota Twins,142,590,522,152,24,1,22,61,2,3,121,4,0,244,.291,.366,.467,.833
2022,666182,Bo Bichette,Toronto Blue Jays,141,697,652,189,43,1,24,41,0,2,155,2,0,306,.290,.333,.469,.802
