year,bo,code,PA,AB,R,H,2B,3B,HR,TB,RBI,GO,FO,BB,HP,IB,SO,GDP,SH,SF,n_players
2022,3,6002,648,595,61,149,29,1,12,216,66,174,189,39,9,1,88,25,0,5,15
2022,3,7002,639,566,68,157,30,1,5,204,55,165,131,59,4,0,121,13,2,8,12
2022,3,9002,659,556,99,147,24,1,28,257,102,113,185,79,16,2,118,7,1,7,19
2022,3,10001,657,578,89,195,36,10,24,323,114,160,189,70,6,11,37,9,0,3,9
2022,3,11001,659,574,78,182,27,4,14,259,94,152,154,66,13,1,91,13,1,5,14
2022,3,12001,648,567,76,145,31,1,17,229,82,132,166,65,7,6,131,18,2,7,18
2022,4,1001,645,567,65,156,38,1,18,250,109,113,178,58,6,4,133,13,1,13,21
2022,4,2002,586,527,54,139,36,2,12,215,82,131,151,52,4,2,109,9,0,3,15
2022,4,3001,635,576,74,173,33,2,18,264,104,171,146,45,6,5,94,21,0,8,14
2022,4,5002,638,569,63,162,28,2,16,242,97,143,167,38,22,4,106,19,0,9,17
2022,4,6002,630,555,76,139,30,1,24,243,82,137,133,67,4,4,150,8,0,4,12
2022,4,7002,625,545,81,159,23,2,16,234,78,143,118,70,6,5,129,12,0,4,14
2022,4,9002,641,547,73,137,36,3,23,248,110,142,116,70,19,6,157,10,0,5,15
2022,4,10001,708,615,84,167,31,3,20,264,78,148,188,74,10,2,120,8,1,8,15
2022,4,11001,635,537,73,149,29,1,26,258,114,139,194,73,13,7,66,18,1,11,17
2022,4,12001,636,557,84,146,23,1,34,273,109,96,153,59,12,7,170,8,0,8,18
2022,5,1001,635,563,66,149,29,0,16,226,85,151,144,52,9,3,126,15,4,7,23
2022,5,2002,633,564,81,167,32,5,15,254,90,138,171,61,5,8,91,16,0,3,12
2022,5,3001,620,565,62,146,26,1,17,225,67,169,147,41,8,2,106,13,3,3,17
2022,5,5002,624,547,76,156,20,3,22,248,90,137,140,62,8,2,119,13,2,5,17
2022,5,6002,611,552,62,144,22,0,17,217,82,139,163,38,13,2,111,11,3,5,20
2022,5,7002,609,555,50,128,22,0,8,174,67,141,115,44,3,0,177,6,1,6,13
2022,5,9002,629,559,70,160,27,1,22,255,96,125,148,53,7,2,133,6,3,7,15
2022,5,10001,629,572,65,147,23,6,7,203,56,182,147,51,3,2,98,11,1,2,14
2022,5,11001,617,551,69,150,32,0,17,233,89,135,166,51,8,6,106,10,1,6,20
2022,5,12001,620,549,66,143,22,1,20,227,73,132,153,60,5,1,125,12,2,4,19
2022,6,1001,614,553,55,154,27,0,13,220,69,153,138,43,5,4,111,16,10,3,26
2022,6,2002,597,531,55,141,32,3,10,209,71,167,139,54,5,0,88,14,3,4,16
2022,6,3001,601,539,53,143,22,1,8,191,51,135,155,42,7,1,115,15,4,9,23
2022,6,5002,609,527,64,125,16,4,10,179,64,163,143,62,10,1,100,15,6,4,18
2022,6,6002,596,522,63,150,25,2,11,212,62,116,151,58,7,1,107,12,7,2,22
2022,6,7002,600,531,59,131,31,3,8,192,61,147,109,57,4,1,150,9,2,6,16
2022,6,9002,604,532,71,130,35,5,17,226,70,149,146,57,9,3,110,13,3,3,20
2022,6,10001,637,551,66,135,26,3,10,197,66,144,131,58,10,3,145,10,14,4,22
2022,6,11001,605,523,56,117,19,0,10,166,49,134,148,64,8,1,130,14,4,6,19
2022,6,12001,599,542,55,141,24,3,12,207,59,141,139,49,3,1,122,14,4,1,19
2022,7,1001,600,541,65,132,28,0,5,175,40,165,140,44,5,1,108,15,6,4,27
2022,7,2002,605,542,66,151,24,2,16,227,87,153,128,48,5,4,113,13,7,3,19
2022,7,3001,584,513,35,112,25,1,6,157,50,153,132,51,4,1,118,18,14,2,22
2022,7,5002,595,515,81,130,33,4,16,219,59,125,145,63,10,1,119,16,3,4,18
2022,7,6002,579,514,56,111,19,0,4,142,44,144,147,40,6,0,119,8,12,7,25
2022,7,7002,583,518,51,128,27,7,9,196,66,138,116,48,5,2,138,13,9,2,23
2022,7,9002,592,524,64,132,19,2,11,188,51,132,147,46,5,3,115,9,15,2,21
2022,7,10001,598,529,61,134,12,3,10,182,53,140,129,50,6,6,129,10,10,3,19
2022,7,11001,594,523,47,118,23,1,11,176,52,138,123,51,10,3,145,10,9,1,17
2022,7,12001,582,511,57,124,20,0,12,180,60,125,122,57,4,2,142,8,8,2,21
2022,8,1001,573,519,49,134,19,1,11,188,61,142,143,37,3,1,103,11,11,3,27
2022,8,2002,726,618,86,154,22,0,18,230,83,144,175,75,15,3,148,13,15,3,23
2022,8,3001,565,495,43,102,14,0,7,137,42,143,121,43,8,0,133,8,15,4,22
2022,8,5002,581,512,71,131,20,3,16,205,70,147,124,42,12,4,113,9,12,3,19
2022,8,6002,559,492,59,114,21,2,8,163,59,127,137,42,5,1,119,9,15,5,26
2022,8,7002,568,507,48,113,25,1,7,161,41,126,131,43,7,1,141,8,7,4,24
2022,8,9002,442,379,41,89,15,1,4,118,43,105,122,36,11,3,70,10,9,7,21
2022,8,10001,582,510,52,116,24,2,8,168,62,146,132,39,22,3,118,14,9,2,21
2022,8,11001,576,512,56,100,16,1,6,136,52,140,154,41,11,0,123,17,7,5,22
2022,8,12001,567,480,48,102,13,1,6,135,38,118,125,58,8,0,140,15,16,5,22
2022,9,1001,556,498,60,127,20,2,7,172,54,159,116,32,8,1,99,7,15,3,27
2022,9,2002,572,499,73,110,25,5,4,157,51,142,133,54,4,0,118,14,11,4,15
2022,9,3001,546,484,56,106,17,4,6,149,40,123,112,35,8,0,143,8,19,0,20
2022,9,5002,566,518,61,133,18,2,7,176,53,135,146,30,6,0,108,12,8,4,19
2022,9,6002,544,476,49,104,15,3,9,152,63,141,129,43,11,2,110,6,6,8,27
2022,9,7002,552,495,49,108,12,0,14,162,63,122,140,36,2,1,131,6,13,6,23
2022,9,9002,564,493,60,107,17,1,5,141,57,138,136,35,4,0,116,19,28,4,26
2022,9,10001,568,492,54,112,15,2,13,170,65,124,122,57,9,0,140,8,4,6,23
2022,9,11001,550,487,57,117,20,2,10,171,57,139,101,42,10,0,131,9,10,1,22
2022,9,12001,548,478,74,107,12,2,5,138,39,130,140,49,3,0,105,15,13,4,16
