year,bo,code,PA,AB,R,H,2B,3B,HR,TB,RBI,GO,FO,BB,HP,IB,SO,GDP,SH,SF,n_players
2022,1,1001,690,603,90,162,26,6,1,203,53,192,135,69,2,1,116,6,14,2,17
2022,1,2002,771,666,107,187,28,1,4,229,60,203,173,81,3,0,110,7,14,7,12
2022,1,3001,674,605,101,180,27,3,11,246,56,176,158,57,4,6,94,4,5,3,16
2022,1,5002,694,600,108,164,23,8,2,209,59,202,141,65,20,0,100,7,2,7,12
2022,1,6002,680,590,92,181,22,3,7,230,65,181,141,75,8,5,92,14,2,5,17
2022,1,7002,679,605,86,150,26,5,12,222,44,162,170,67,6,3,124,12,0,1,12
2022,1,9002,686,579,96,149,26,1,17,228,74,151,153,79,17,2,134,8,3,8,16
2022,1,10001,614,501,61,89,13,2,0,106,40,195,121,89,12,0,100,6,8,4,13
2022,1,11001,680,600,85,162,34,2,5,215,41,203,153,61,6,5,88,8,7,6,16
2022,1,12001,676,592,70,171,23,5,4,216,54,171,148,71,4,3,107,3,4,5,13
2022,2,1001,676,588,98,162,23,6,10,227,62,177,141,57,8,4,111,20,20,3,18
2022,2,2002,700,604,91,173,23,1,9,225,71,190,153,71,6,0,93,18,13,5,16
2022,2,3001,659,576,93,168,34,2,14,248,71,145,153,58,6,0,116,15,13,6,18
2022,2,5002,667,571,92,167,26,4,7,222,73,171,158,68,7,0,81,8,15,6,19
2022,2,6002,662,594,71,157,27,0,9,211,69,176,154,48,8,0,111,23,8,4,22
2022,2,7002,658,556,61,122,21,0,9,170,45,133,151,73,15,0,153,13,11,3,19
2022,2,9002,670,599,89,168,36,2,10,238,61,159,180,51,5,0,95,13,12,3,16
2022,2,10001,656,593,74,151,26,2,6,199,50,141,150,42,17,0,153,13,2,2,19
2022,2,11001,667,590,87,164,30,4,6,220,65,182,149,52,9,1,101,13,10,6,19
2022,2,12001,667,586,72,158,24,5,9,219,72,145,150,50,3,1,140,12,21,7,20
2022,3,1001,658,591,90,182,31,3,22,285,94,146,144,54,8,9,122,16,2,3,15
2022,3,2002,665,577,95,168,31,1,22,267,94,135,149,67,15,4,130,8,1,5,13
2022,3,3001,649,594,62,190,29,2,19,280,89,182,157,45,3,4,72,25,0,7,13
2022,3,5002,652,567,82,157,24,3,22,253,108,165,171,71,8,6,78,10,1,4,15
