year,name,p_no,code,pos,PA,AB,R,H,2B,3B,HR,TB,RBI,GO,FO,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS
2024,김민혁,11339,12001,LF,45,41,8,23,3,2,1,33,6,11,4,4,0,0,3,1,0,0,0.561,0.600,0.805,1.405
2024,송성문,11376,10001,3B,32,27,6,12,1,1,0,15,6,3,11,4,0,0,2,0,0,1,0.444,0.500,0.556,1.056
2024,김도영,15056,2002,3B,72,63,16,27,1,2,5,47,14,7,23,7,0,0,8,0,0,2,0.429,0.472,0.746,1.218
2024,구자욱,10892,1001,LF,35,29,6,11,1,1,1,17,4,6,8,5,1,0,4,0,0,0,0.379,0.486,0.586,1.072
2024,정준재,16042,9002,2B,14,14,0,5,1,0,0,6,1,4,4,0,0,0,1,0,0,0,0.357,0.357,0.429,0.786
2024,박성한,12922,9002,SS,68,56,14,20,3,0,2,29,13,18,10,10,0,0,10,0,0,2,0.357,0.441,0.518,0.959
2024,김성윤,12936,1001,RF,19,17,4,6,3,0,0,9,0,8,2,2,0,0,1,0,0,0,0.353,0.421,0.529,0.950
2024,소크라테스,14996,2002,LF,89,80,20,28,6,0,5,49,15,12,28,6,1,0,14,0,0,2,0.350,0.393,0.613,1.006
2024,로하스,12995,12001,LF,427,375,71,129,26,1,19,214,75,76,104,45,4,4,69,4,0,3,0.344,0.417,0.571,0.988
2024,김태연,12585,7002,1B,83,71,12,24,2,0,5,41,17,11,18,10,0,0,20,0,0,2,0.338,0.410,0.577,0.987
2024,홍창기,12546,5002,RF,566,467,85,156,16,3,3,187,62,142,90,85,9,3,83,7,1,4,0.334,0.442,0.400,0.842
2024,김선빈,10008,2002,2B,11,9,3,3,1,0,0,4,0,5,0,1,1,0,1,3,0,0,0.333,0.455,0.444,0.899
2024,서호철,14220,11001,3B,29,27,3,9,1,0,1,13,3,1,10,0,1,0,7,1,1,0,0.333,0.357,0.481,0.838
2024,박민우,11137,11001,2B,492,422,74,139,23,2,8,190,49,96,115,53,9,4,76,4,4,4,0.329,0.412,0.450,0.862
2024,문현빈,15422,7002,2B,66,61,11,19,6,0,2,31,19,23,13,3,1,0,7,4,0,1,0.311,0.348,0.508,0.856
2024,김지찬,14618,1001,CF,470,396,89,122,14,3,1,145,28,134,107,53,8,2,34,3,12,1,0.308,0.400,0.366,0.766
2024,황성빈,14642,3001,LF,322,288,62,88,13,6,1,116,14,92,61,27,2,0,48,3,4,1,0.306,0.368,0.403,0.771
2024,황영묵,16110,7002,SS,121,109,13,33,2,1,1,40,12,33,24,10,0,0,19,0,2,0,0.303,0.361,0.367,0.728
2024,이용규,10035,10001,LF,114,93,12,28,3,0,1,34,5,30,18,14,4,0,18,1,2,1,0.301,0.411,0.366,0.777
2024,박찬호,11261,2002,SS,376,341,58,101,16,0,4,129,36,111,100,27,1,0,32,6,4,3,0.296,0.347,0.378,0.725
2024,라모스,15000,6002,RF,83,76,10,22,3,0,4,37,12,17,23,5,0,0,15,1,1,1,0.289,0.329,0.487,0.816
2024,정수빈,10195,6002,CF,536,448,87,128,19,3,4,165,40,138,123,67,8,1,65,7,7,6,0.286,0.384,0.368,0.752
2024,이진영,12539,7002,CF,37,35,10,10,2,0,0,12,4,10,5,1,1,0,10,2,0,0,0.286,0.324,0.343,0.667
2024,이주형,14591,10001,CF,371,325,64,93,14,3,9,140,40,72,86,34,11,0,75,4,0,1,0.286,0.372,0.431,0.803
2024,윤동희,15048,3001,CF,303,270,53,76,21,2,5,116,36,68,74,29,0,0,56,5,0,4,0.281,0.347,0.430,0.777
2024,김헌곤,10640,1001,RF,50,43,8,12,2,0,2,20,3,13,11,5,1,0,7,2,1,0,0.279,0.367,0.465,0.832
2024,최인호,14707,7002,LF,155,130,25,36,9,1,1,50,7,42,31,20,2,0,21,1,3,0,0.277,0.382,0.385,0.767
2024,최정원,14221,11001,2B,56,47,8,13,1,0,1,17,7,15,8,6,1,0,13,1,0,2,0.277,0.357,0.362,0.719
2024,이재현,15034,1001,SS,14,11,3,3,1,0,0,4,3,2,3,2,0,0,4,0,0,1,0.273,0.357,0.364,0.721
2024,천성호,14606,12001,2B,128,118,21,32,5,3,1,46,12,41,27,8,0,0,19,4,1,1,0.271,0.315,0.390,0.705
2024,박해민,11190,5002,CF,95,85,11,23,0,1,0,25,10,17,32,6,1,0,16,1,0,3,0.271,0.316,0.294,0.610
2024,배정대,11212,12001,CF,77,71,6,19,3,0,1,25,9,14,18,4,0,0,22,0,0,2,0.268,0.299,0.352,0.651
2024,최지훈,14587,9002,CF,484,429,80,115,21,6,8,172,43,104,150,47,2,0,62,4,4,2,0.268,0.342,0.401,0.743
2024,이원석,13138,7002,CF,83,72,7,19,2,1,0,23,5,22,20,9,0,0,12,2,1,1,0.264,0.341,0.319,0.660
2024,이성규,12562,1001,RF,21,19,3,5,0,0,1,8,1,5,6,2,0,0,3,0,0,0,0.263,0.333,0.421,0.754
2024,손아섭,10261,11001,DH,63,58,6,15,2,0,0,17,5,23,11,2,0,0,11,1,1,2,0.259,0.274,0.293,0.567
2024,서건창,10855,2002,2B,84,63,14,16,3,0,0,19,7,14,24,18,0,0,10,1,2,1,0.254,0.415,0.302,0.717
2024,김태진,11244,10001,3B,39,36,7,9,1,2,0,14,3,11,11,2,0,0,6,0,0,1,0.250,0.282,0.389,0.671
2024,이유찬,12894,6002,2B,28,25,6,6,1,0,2,13,3,7,7,3,0,0,5,0,0,0,0.240,0.321,0.520,0.841
2024,김성욱,11153,11001,CF,15,13,3,3,0,0,1,6,1,3,6,1,1,0,1,0,0,0,0.231,0.333,0.462,0.795
2024,박지환,16038,9002,SS,53,49,8,11,0,0,2,17,2,11,11,2,1,0,16,1,1,0,0.224,0.269,0.347,0.616
2024,페라자,16121,7002,RF,106,98,14,22,3,0,5,40,10,19,22,8,0,0,35,0,0,0,0.224,0.283,0.408,0.691
2024,이창진,11233,2002,LF,33,27,3,6,0,0,0,6,1,9,6,5,1,0,6,1,0,0,0.222,0.364,0.222,0.586
2024,추신수,14888,9002,DH,46,41,4,9,2,1,0,13,5,11,13,3,0,0,10,0,0,2,0.220,0.261,0.317,0.578
2024,김혜성,12905,10001,2B,14,14,2,3,1,0,1,7,1,4,3,0,0,0,4,0,0,0,0.214,0.214,0.500,0.714
2024,박수종,15132,10001,CF,34,33,0,7,0,0,0,7,1,11,12,1,0,0,3,1,0,0,0.212,0.235,0.212,0.447
2024,김현준,14867,1001,CF,45,41,6,8,6,1,0,16,2,16,9,3,0,0,9,1,0,1,0.195,0.244,0.390,0.634
2024,박시원,14597,11001,LF,13,11,1,2,1,0,0,3,1,2,0,2,0,0,7,0,0,0,0.182,0.308,0.273,0.581
2024,류지혁,10894,1001,2B,12,11,1,2,1,0,0,3,1,6,0,1,0,0,3,0,0,0,0.182,0.250,0.273,0.523
2024,장두성,13155,3001,RF,15,13,1,2,0,0,0,2,0,5,2,2,0,0,4,0,0,0,0.154,0.267,0.154,0.421
2024,고영우,16128,10001,3B,29,27,3,4,1,0,0,5,4,6,6,2,0,0,11,0,0,0,0.148,0.207,0.185,0.392
2024,김병휘,14577,10001,2B,20,15,2,2,1,0,0,3,1,3,4,3,1,0,6,0,1,0,0.133,0.316,0.200,0.516
2024,김강민,10108,7002,CF,15,13,2,1,0,0,1,4,3,4,6,2,0,0,2,0,0,0,0.077,0.200,0.308,0.508
2024,김민석,15253,3001,CF,20,15,1,1,0,0,0,1,0,6,5,1,3,0,3,0,1,0,0.067,0.263,0.067,0.330
2024,최원준,12534,2002,CF,18,15,2,1,0,0,0,1,1,5,7,2,0,0,3,0,0,1,0.067,0.167,0.067,0.234
2024,도태훈,12560,11001,3B,11,9,0,0,0,0,0,0,0,3,4,1,1,0,2,2,0,0,0.000,0.182,0.000,0.182
2024,장재영,14784,10001,CF,19,19,0,0,0,0,0,0,0,1,8,0,0,0,10,0,0,0,0.000,0.000,0.000,0.000
2024,정은원,13137,7002,2B,13,12,1,0,0,0,0,0,0,6,3,1,0,0,3,0,0,0,0.000,0.077,0.000,0.077
