gameId,gameDate,team,opponent,homeAway,teamScore,oppScore,batOrder,playerCode,name,pos,ab,hit,hr,bb,kk,run,rbi
20210404HTOB02021,2021-04-04,두산,KIA,home,4,1,1,79240,허경민,三,4,2,0,0,0,1,1
20210404HTOB02021,2021-04-04,두산,KIA,home,4,1,2,69209,페르난데,지,3,0,0,1,0,0,0
20210404HTOB02021,2021-04-04,두산,KIA,home,4,1,2,68204,권민석,교,0,0,0,0,0,1,0
20210404HTOB02021,2021-04-04,두산,KIA,home,4,1,3,79215,박건우,우,4,1,1,0,0,1,3
20210404HTOB02021,2021-04-04,두산,KIA,home,4,1,4,78224,김재환,좌,3,0,0,1,1,0,0
20210404HTOB02021,2021-04-04,두산,KIA,home,4,1,4,50202,안권수,교,0,0,0,0,0,0,0
20210404HTOB02021,2021-04-04,두산,KIA,home,4,1,4,64468,박계범,교,0,0,0,0,0,0,0
20210404HTOB02021,2021-04-04,두산,KIA,home,4,1,5,64153,양석환,一,4,1,0,0,0,0,0
20210404HTOB02021,2021-04-04,두산,KIA,home,4,1,6,62244,박세혁,포,4,0,0,0,1,0,0
20210404HTOB02021,2021-04-04,두산,KIA,home,4,1,7,77248,오재원,二,3,1,0,0,1,0,0
20210404HTOB02021,2021-04-04,두산,KIA,home,4,1,8,74206,김재호,유,3,2,0,0,0,0,0
20210404HTOB02021,2021-04-04,두산,KIA,home,4,1,8,66209,조수행,교,0,0,0,0,0,1,0
20210404HTOB02021,2021-04-04,두산,KIA,home,4,1,9,79231,정수빈,중,2,1,0,0,0,0,0
20210404LGNC02021,2021-04-04,LG,NC,away,2,1,1,66108,홍창기,중,4,2,0,1,2,2,0
20210404LGNC02021,2021-04-04,LG,NC,away,2,1,2,50165,라모스,一,3,0,0,1,0,0,0
20210404LGNC02021,2021-04-04,LG,NC,away,2,1,2,78217,김용의,교,1,0,0,0,1,0,0
20210404LGNC02021,2021-04-04,LG,NC,away,2,1,3,76290,김현수,좌,5,2,0,0,2,0,2
20210404LGNC02021,2021-04-04,LG,NC,away,2,1,4,78135,이형종,우,5,0,0,0,2,0,0
20210404LGNC02021,2021-04-04,LG,NC,away,2,1,5,79192,채은성,지,4,1,0,0,2,0,0
20210404LGNC02021,2021-04-04,LG,NC,away,2,1,6,77564,김민성,三,4,2,0,0,0,0,0
20210404LGNC02021,2021-04-04,LG,NC,away,2,1,7,61102,유강남,포,4,1,0,0,0,0,0
20210404LGNC02021,2021-04-04,LG,NC,away,2,1,8,79150,정주현,二,1,0,0,1,0,0,0
20210404LGNC02021,2021-04-04,LG,NC,away,2,1,8,61186,이천웅,교,1,0,0,0,0,0,0
20210404LGNC02021,2021-04-04,LG,NC,away,2,1,8,69100,구본혁,교,1,0,0,0,0,0,0
20210404LGNC02021,2021-04-04,LG,NC,away,2,1,9,79109,오지환,유,2,0,0,2,0,0,0
20210404LGNC02021,2021-04-04,NC,LG,home,1,2,1,76849,이명기,좌,3,0,0,1,1,0,0
20210404LGNC02021,2021-04-04,NC,LG,home,1,2,2,62907,박민우,二,3,1,0,0,0,0,0
20210404LGNC02021,2021-04-04,NC,LG,home,1,2,3,62947,나성범,우,3,2,1,1,0,1,1
20210404LGNC02021,2021-04-04,NC,LG,home,1,2,4,76232,양의지,포,4,0,0,0,2,0,0
20210404LGNC02021,2021-04-04,NC,LG,home,1,2,5,50923,알테어,중,4,1,0,0,3,0,0
20210404LGNC02021,2021-04-04,NC,LG,home,1,2,6,63963,권희동,지,3,0,0,1,2,0,0
20210404LGNC02021,2021-04-04,NC,LG,home,1,2,7,74465,박석민,三,4,0,0,0,2,0,0
20210404LGNC02021,2021-04-04,NC,LG,home,1,2,8,62925,강진성,一,4,0,0,0,0,0,0
20210404LGNC02021,2021-04-04,NC,LG,home,1,2,9,66917,김찬형,유,2,2,0,1,0,0,0
20210404LTSK02021,2021-04-04,롯데,SSG,away,3,5,1,79608,안치홍,二,5,2,0,0,0,0,0
20210404LTSK02021,2021-04-04,롯데,SSG,away,3,5,2,77532,손아섭,우,5,0,0,0,0,0,0
20210404LTSK02021,2021-04-04,롯데,SSG,away,3,5,3,78513,전준우,좌,4,2,0,0,0,1,0
20210404LTSK02021,2021-04-04,롯데,SSG,away,3,5,4,71564,이대호,지,4,1,0,0,0,0,1
20210404LTSK02021,2021-04-04,롯데,SSG,away,3,5,5,60523,정훈,一,4,2,1,0,1,1,1
20210404LTSK02021,2021-04-04,롯데,SSG,away,3,5,6,68362,추재현,중,2,1,0,0,0,0,0
20210404LTSK02021,2021-04-04,롯데,SSG,away,3,5,6,64504,오윤석,교,1,1,0,0,0,0,0
20210404LTSK02021,2021-04-04,롯데,SSG,away,3,5,6,65506,김재유,교,1,1,0,0,0,0,0
20210404LTSK02021,2021-04-04,롯데,SSG,away,3,5,7,62558,김준태,포,4,1,1,0,2,1,1
