year,team,opponent,win,loss,draw
2025,LG,한화,8,7,1
2025,LG,SSG,10,6,0
2025,LG,삼성,9,7,0
2025,LG,NC,8,8,0
2025,LG,KT,11,5,0
2025,LG,롯데,10,4,2
2025,LG,KIA,11,5,0
2025,LG,두산,9,7,0
2025,LG,키움,9,7,0
2025,한화,LG,7,8,1
2025,한화,SSG,8,8,0
2025,한화,삼성,8,8,0
2025,한화,NC,9,6,1
2025,한화,KT,9,6,1
2025,한화,롯데,10,6,0
2025,한화,KIA,12,4,0
2025,한화,두산,6,9,1
2025,한화,키움,14,2,0
2025,SSG,LG,6,10,0
2025,SSG,한화,8,8,0
2025,SSG,삼성,7,8,1
2025,SSG,NC,9,6,1
2025,SSG,KT,9,7,0
2025,SSG,롯데,10,6,0
2025,SSG,KIA,7,8,1
2025,SSG,두산,10,6,0
2025,SSG,키움,9,6,1
2025,삼성,LG,7,9,0
2025,삼성,한화,8,8,0
2025,삼성,SSG,8,7,1
2025,삼성,NC,9,7,0
2025,삼성,KT,5,11,0
2025,삼성,롯데,7,8,1
2025,삼성,KIA,8,8,0
2025,삼성,두산,10,6,0
2025,삼성,키움,12,4,0
2025,NC,LG,8,8,0
2025,NC,한화,6,9,1
2025,NC,SSG,6,9,1
2025,NC,삼성,7,9,0
2025,NC,KT,9,6,1
2025,NC,롯데,8,8,0
2025,NC,KIA,9,7,0
2025,NC,두산,9,5,2
2025,NC,키움,9,6,1
2025,KT,LG,5,11,0
2025,KT,한화,6,9,1
2025,KT,SSG,7,9,0
2025,KT,삼성,11,5,0
2025,KT,NC,6,9,1
2025,KT,롯데,6,8,2
2025,KT,KIA,8,8,0
2025,KT,두산,11,4,1
2025,KT,키움,11,5,0
2025,롯데,LG,4,10,2
2025,롯데,한화,6,10,0
2025,롯데,SSG,6,10,0
2025,롯데,삼성,8,7,1
2025,롯데,NC,8,8,0
2025,롯데,KT,8,6,2
2025,롯데,KIA,8,8,0
2025,롯데,두산,7,8,1
2025,롯데,키움,11,5,0
2025,KIA,LG,5,11,0
2025,KIA,한화,4,12,0
2025,KIA,SSG,8,7,1
2025,KIA,삼성,8,8,0
2025,KIA,NC,7,9,0
2025,KIA,KT,8,8,0
2025,KIA,롯데,8,8,0
2025,KIA,두산,9,6,1
2025,KIA,키움,8,6,2
2025,두산,LG,7,9,0
2025,두산,한화,9,6,1
2025,두산,SSG,6,10,0
2025,두산,삼성,6,10,0
2025,두산,NC,5,9,2
2025,두산,KT,4,11,1
2025,두산,롯데,8,7,1
2025,두산,KIA,6,9,1
2025,두산,키움,10,6,0
2025,키움,LG,7,9,0
2025,키움,한화,2,14,0
2025,키움,SSG,6,9,1
2025,키움,삼성,4,12,0
2025,키움,NC,6,9,1
2025,키움,KT,5,11,0
2025,키움,롯데,5,11,0
2025,키움,KIA,6,8,2
2025,키움,두산,6,10,0
