season,playerId,name,team,teamId,pa,ab,h,2b,3b,hr,bb,ibb,hbp,so,sf,sac,tb,avg,obp,slg,ops
2024,677951,Bobby Witt Jr.,Kansas City Royals,118,709,636,211,45,11,32,57,9,8,106,8,0,374,.332,.389,.588,.977
2024,665489,Vladimir Guerrero Jr.,Toronto Blue Jays,141,697,616,199,44,1,30,72,12,5,96,4,0,335,.323,.396,.544,.940
2024,592450,Aaron Judge,New York Yankees,147,704,559,180,36,1,58,133,20,9,171,2,0,392,.322,.458,.701,1.159
2024,650333,Luis Arraez,San Diego Padres,135,672,637,200,32,3,4,24,3,8,29,1,2,250,.314,.346,.392,.738
2024,660271,Shohei Ohtani,Los Angeles Dodgers,119,731,636,197,38,7,54,81,10,6,162,5,0,411,.310,.390,.646,1.036
2024,670541,Yordan Alvarez,Houston Astros,117,635,552,170,34,2,35,69,16,10,95,4,0,313,.308,.392,.567,.959
2024,542303,Marcell Ozuna,Atlanta Braves,144,688,606,183,31,0,39,74,2,3,170,4,0,331,.302,.378,.546,.924
2024,673237,Yainer Diaz,Houston Astros,117,619,585,175,29,3,16,24,1,2,107,8,0,258,.299,.325,.441,.766
2024,607208,Trea Turner,Philadelphia Phillies,143,539,505,149,25,0,21,27,0,6,98,1,0,237,.295,.338,.469,.807
2024,514888,Jose Altuve,Houston Astros,117,682,628,185,31,0,20,47,2,7,119,0,0,276,.295,.350,.439,.789
2024,667670,Brent Rooker,Oakland Athletics,133,614,546,160,26,2,39,59,4,5,177,4,0,307,.293,.365,.562,.927
2024,701538,Jackson Merrill,San Diego Padres,135,593,554,162,31,6,24,29,1,1,101,5,4,277,.292,.326,.500,.826
2024,680757,Steven Kwan,Cleveland Guardians,114,540,480,140,16,3,14,53,0,5,51,0,2,204,.292,.368,.425,.793
2024,606466,Ketel Marte,Arizona Diamondbacks,109,583,504,147,23,2,36,65,7,5,106,9,0,282,.292,.372,.560,.932
2024,605141,Mookie Betts,Los Angeles Dodgers,119,516,450,130,24,5,19,61,2,1,57,4,0,221,.289,.372,.491,.863
2024,665742,Juan Soto,New York Yankees,147,713,576,166,31,4,41,129,2,4,119,4,0,328,.288,.419,.569,.988
2024,547180,Bryce Harper,Philadelphia Phillies,143,631,550,157,42,0,30,76,11,2,138,2,1,289,.285,.373,.525,.898
2024,680776,Jarren Duran,Boston Red Sox,111,735,671,191,48,14,21,54,1,6,160,3,1,330,.285,.342,.492,.834
2024,673548,Seiya Suzuki,Chicago Cubs,112,585,512,145,27,6,21,63,3,6,160,4,0,247,.283,.366,.482,.848
2024,518692,Freddie Freeman,Los Angeles Dodgers,119,638,542,153,35,2,22,78,9,10,100,8,0,258,.282,.378,.476,.854
2024,671277,Luis García Jr.,Washington Nationals,120,528,500,141,25,1,18,27,2,0,86,1,0,222,.282,.318,.444,.762
