year,bo,code,PA,AB,R,H,2B,3B,HR,TB,RBI,GO,FO,BB,HP,IB,SO,GDP,SH,SF,n_players
2025,1,1001,693,594,113,158,25,4,12,227,56,166,161,76,10,1,114,9,8,5,15
2025,1,2002,697,611,90,167,22,1,10,221,47,166,170,67,4,1,114,7,9,6,21
2025,1,3001,690,603,88,152,18,10,3,199,61,177,134,57,16,1,145,12,9,5,19
2025,1,5002,697,585,110,170,18,8,4,216,60,211,110,88,9,0,101,12,8,7,12
2025,1,6002,682,600,103,152,26,7,9,219,57,206,144,61,11,2,101,10,7,3,16
2025,1,7002,549,488,68,119,19,3,11,177,44,141,123,46,7,1,107,7,6,2,12
2025,1,9002,671,600,81,161,19,5,6,208,53,153,170,61,5,1,120,7,1,4,14
2025,1,10001,675,598,104,177,33,3,23,285,75,163,154,67,6,5,107,12,1,3,15
2025,1,11001,805,699,118,198,47,6,14,299,76,190,169,78,21,1,144,8,5,2,18
2025,1,12001,680,598,77,161,26,2,10,221,71,176,156,56,14,2,110,5,7,5,17
2025,2,1001,675,560,108,173,31,5,7,235,68,167,126,82,11,0,101,14,15,7,19
2025,2,2002,847,742,98,191,31,5,19,289,94,185,235,77,10,2,138,9,11,7,20
2025,2,3001,677,583,90,158,26,2,5,203,50,157,151,76,7,0,120,11,8,3,17
2025,2,5002,645,560,84,163,32,1,8,221,88,182,141,60,9,0,83,16,7,9,17
2025,2,6002,660,598,75,147,24,0,11,204,54,171,127,41,7,1,158,7,9,5,20
2025,2,7002,650,582,91,164,42,3,17,263,78,132,163,51,4,2,129,11,7,6,16
2025,2,9002,657,564,88,142,22,1,11,199,47,159,141,64,4,0,127,5,20,5,15
2025,2,10001,662,592,79,143,24,4,18,229,84,144,157,53,11,0,153,14,1,5,11
2025,2,11001,495,413,72,104,21,2,6,147,51,100,124,58,10,0,89,7,10,4,15
2025,2,12001,691,603,79,153,26,0,4,191,52,183,154,68,8,0,117,11,8,4,20
2025,3,1001,659,567,111,178,33,2,21,278,101,145,143,71,11,6,108,6,3,7,17
2025,3,2002,662,587,92,156,25,3,26,265,96,137,159,61,10,1,138,14,1,3,20
2025,3,3001,666,576,80,161,36,2,16,249,97,171,156,66,13,8,94,16,5,6,14
2025,3,5002,660,562,103,167,30,1,31,292,114,120,205,81,5,6,82,11,1,11,18
2025,3,6002,645,570,81,180,27,7,25,296,106,133,161,60,7,2,104,12,0,8,14
