year,name,p_no,code,pos,PA,AB,R,H,2B,3B,HR,TB,RBI,GO,FO,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS
2025,김호령,11298,2002,CF,16,15,4,7,0,0,0,7,0,2,3,1,0,0,3,0,0,0,0.467,0.500,0.467,0.967
2025,최인호,14707,7002,LF,41,37,3,13,3,0,0,16,2,10,9,3,0,0,5,1,1,0,0.351,0.400,0.432,0.832
2025,박찬형,16395,3001,SS,52,43,7,15,5,1,2,28,11,9,10,2,6,1,10,0,0,1,0.349,0.442,0.651,1.093
2025,송성문,11376,10001,3B,440,392,72,131,27,2,19,219,61,97,103,44,1,5,64,6,0,3,0.334,0.400,0.559,0.959
2025,권동진,14777,12001,2B,12,9,1,3,0,0,0,3,0,2,0,2,1,0,4,0,0,0,0.333,0.500,0.333,0.833
2025,오명진,14737,6002,SS,14,12,0,4,0,0,0,4,2,3,4,0,1,0,2,0,0,1,0.333,0.357,0.333,0.690
2025,신민재,13056,5002,2B,361,310,63,103,12,7,1,132,36,118,53,41,2,0,40,5,4,4,0.332,0.409,0.426,0.835
2025,고종욱,10659,2002,LF,76,70,7,23,2,0,2,31,11,22,18,3,0,0,10,2,0,3,0.329,0.342,0.443,0.785
2025,이유찬,12894,6002,2B,60,52,10,17,5,1,0,24,4,13,14,7,0,0,8,2,1,0,0.327,0.407,0.462,0.869
2025,김주원,14765,11001,SS,349,302,57,97,19,5,10,156,42,62,82,36,9,1,62,3,1,1,0.321,0.408,0.517,0.925
2025,플로리얼,16312,7002,CF,79,70,12,22,4,1,4,40,7,19,18,7,1,1,12,0,0,1,0.314,0.380,0.571,0.951
2025,허경민,10184,12001,3B,130,113,13,35,5,0,1,43,18,39,36,9,4,0,5,0,2,2,0.310,0.375,0.381,0.756
2025,배정대,11212,12001,CF,68,58,7,18,5,0,1,26,11,11,13,6,2,0,16,0,2,0,0.310,0.394,0.448,0.842
